#ALMAQUEST spaxel data for SF galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#Sigma_H2 Sigma_SM Sigma_SFR R_eff O/H+12
2.752000093460083 23.28499984741211 0.01955779269337654 1.7799999713897705 8.680000305175781
2.3980000019073486 23.875 0.018665742129087448 1.75 8.680000305175781
1.6970000267028809 23.90999984741211 0.019456805661320686 1.7200000286102295 8.75
3.8489999771118164 23.28499984741211 0.018749898299574852 1.7699999809265137 8.6899995803833
3.740000009536743 23.875 0.01849743165075779 1.7400000095367432 8.6899995803833
3.3510000705718994 24.93000030517578 0.019069690257310867 1.7000000476837158 8.6899995803833
2.9089999198913574 24.93000030517578 0.01891821064054966 1.6699999570846558 8.729999542236328
2.680000066757202 23.90999984741211 0.016476010903716087 1.6399999856948853 8.779999732971191
2.865999937057495 22.71500015258789 0.01217396929860115 1.6200000047683716 8.779999732971191
3.4560000896453857 20.614999771118164 0.009866418316960335 1.590000033378601 8.770000457763672
4.15500020980835 15.71500015258789 0.008971001952886581 1.5700000524520874 8.789999961853027
4.546000003814697 14.600000381469727 0.011367757804691792 1.5499999523162842 8.789999961853027
4.408999919891357 6.134999752044678 0.01111024059355259 1.5399999618530273 8.770000457763672
3.8569998741149902 19.3799991607666 0.010044828988611698 1.5299999713897705 8.770000457763672
3.128000020980835 19.93000030517578 0.005902683362364769 1.5199999809265137 8.6899995803833
2.3320000171661377 19.264999389648438 0.0060507976450026035 1.5199999809265137 8.6899995803833
2.25600004196167 23.239999771118164 0.015094174072146416 1.8600000143051147 8.59000015258789
3.322000026702881 14.859999656677246 0.024623969569802284 1.809999942779541 8.569999694824219
4.247000217437744 26.469999313354492 0.0030380222015082836 1.7699999809265137 8.670000076293945
4.680999755859375 18.405000686645508 0.024876436218619347 1.7300000190734863 8.670000076293945
4.572000026702881 25.19499969482422 0.021897323429584503 1.690000057220459 8.670000076293945
4.238999843597412 26.514999389648438 0.021729011088609695 1.659999966621399 8.699999809265137
4.158999919891357 27.18000030517578 0.020079558715224266 1.6200000047683716 8.729999542236328
4.691999912261963 31.225000381469727 0.02018054574728012 1.590000033378601 8.729999542236328
5.90500020980835 25.66499900817871 0.014991502277553082 1.559999942779541 8.760000228881836
7.491000175476074 25.354999542236328 0.016982628032565117 1.5399999618530273 8.739999771118164
8.815999984741211 24.65999984741211 0.019170677289366722 1.5099999904632568 8.720000267028809
9.241000175476074 23.53999900817871 0.022132959216833115 1.4900000095367432 8.739999771118164
8.559000015258789 22.979999542236328 0.01848059892654419 1.4800000190734863 8.75
7.127999782562256 20.34000015258789 0.01933898963034153 1.4600000381469727 8.75
5.541999816894531 30.8700008392334 0.014974672347307205 1.4500000476837158 8.760000228881836
4.178999900817871 29.450000762939453 0.00894238892942667 1.440000057220459 8.729999542236328
3.078000068664551 5.909999847412109 0.0073164994828403 1.440000057220459 8.729999542236328
2.135999917984009 5.539999961853027 0.0036203800700604916 1.440000057220459 8.710000038146973
2.2829999923706055 19.360000610351562 0.017100445926189423 1.8300000429153442 8.579999923706055
3.5269999504089355 14.859999656677246 0.01081232912838459 1.7799999713897705 8.609999656677246
4.579999923706055 16.16499900817871 0.017319250851869583 1.7400000095367432 8.649999618530273
5.080999851226807 25.53499984741211 0.024001216515898705 1.690000057220459 8.649999618530273
5.039999961853027 20.19499969482422 0.02642490155994892 1.649999976158142 8.670000076293945
4.9029998779296875 37.474998474121094 0.02809118665754795 1.6100000143051147 8.710000038146973
5.265999794006348 39.8849983215332 0.02580214850604534 1.5800000429153442 8.739999771118164
6.53000020980835 37.51499938964844 0.018413275480270386 1.5399999618530273 8.75
8.696000099182129 37.51499938964844 0.021038934588432312 1.5099999904632568 8.75
11.279999732971191 36.97999954223633 0.022839868441224098 1.4800000190734863 8.75
13.390000343322754 23.55500030517578 0.027468431740999222 1.4600000381469727 8.75
14.170000076293945 40.92499923706055 0.036893874406814575 1.4299999475479126 8.75
13.300000190734863 52.0 0.036691904067993164 1.409999966621399 8.75
11.279999732971191 47.880001068115234 0.030632689595222473 1.399999976158142 8.75
8.95300006866455 47.709999084472656 0.022099297493696213 1.3799999952316284 8.739999771118164
6.98799991607666 42.10499954223633 0.01686481013894081 1.3700000047683716 8.710000038146973
5.563000202178955 20.815000534057617 0.007636291440576315 1.3700000047683716 8.710000038146973
4.48799991607666 20.030000686645508 0.006936115678399801 1.3700000047683716 8.6899995803833
3.5299999713897705 25.600000381469727 0.007082546595484018 1.3700000047683716 8.680000305175781
2.628999948501587 25.600000381469727 0.0063705891370773315 1.3700000047683716 8.65999984741211
1.8600000143051147 25.020000457763672 0.006634838879108429 1.3799999952316284 8.65999984741211
1.8849999904632568 15.850000381469727 0.004403028171509504 1.5399999618530273 8.680000305175781
1.9229999780654907 14.460000038146973 0.004234716761857271 1.5700000524520874 8.6899995803833
2.2249999046325684 19.354999542236328 0.018345952033996582 1.7999999523162842 8.579999923706055
3.5369999408721924 14.765000343322754 0.018783561885356903 1.75 8.600000381469727
4.543000221252441 16.16499900817871 0.02204880304634571 1.7000000476837158 8.630000114440918
4.982999801635742 22.475000381469727 0.026694200932979584 1.659999966621399 8.65999984741211
4.982999801635742 29.844999313354492 0.02767040766775608 1.6200000047683716 8.65999984741211
5.057000160217285 32.7400016784668 0.032753411680459976 1.5700000524520874 8.680000305175781
5.803999900817871 35.560001373291016 0.03098614141345024 1.5299999713897705 8.699999809265137
