#ALMAQUEST spaxel data for green valley galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#Sigma_H2 Sigma_SM Sigma_SFR R_eff O/H+12
2.9230000972747803 24.979999542236328 0.0019120184006169438 2.4600000381469727 8.6899995803833
2.822000026702881 44.48500061035156 0.001831228844821453 2.440000057220459 8.710000038146973
2.4730000495910645 20.6200008392334 0.0014947742456570268 2.619999885559082 8.680000305175781
2.760999917984009 21.549999237060547 0.0018093484686687589 2.5399999618530273 8.65999984741211
2.865000009536743 34.255001068115234 0.0018009328050538898 2.4700000286102295 8.619999885559082
3.0439999103546143 35.084999084472656 0.0018598418682813644 2.4000000953674316 8.640000343322754
3.8310000896453857 49.8849983215332 0.0024556645657867193 2.3499999046325684 8.65999984741211
5.185999870300293 39.39500045776367 0.0019288494950160384 2.309999942779541 8.670000076293945
6.091000080108643 44.48500061035156 0.002065181965008378 2.2799999713897705 8.670000076293945
5.547999858856201 43.959999084472656 0.0026694198604673147 2.259999990463257 8.699999809265137
3.8589999675750732 40.904998779296875 0.003697803011164069 2.259999990463257 8.720000267028809
2.424999952316284 40.904998779296875 0.004061355721205473 2.259999990463257 8.739999771118164
2.565000057220459 30.03499984741211 0.004101750440895557 2.309999942779541 8.760000228881836
2.6989998817443848 42.119998931884766 0.0025112072471529245 2.7200000286102295 8.6899995803833
3.558000087738037 21.485000610351562 0.0015114371199160814 2.609999895095825 8.6899995803833
4.136000156402588 34.689998626708984 0.0013416107976809144 2.5199999809265137 8.699999809265137
4.552000045776367 50.29999923706055 0.0015383668942376971 2.430000066757202 8.649999618530273
4.801000118255615 51.45000076293945 0.0021930986549705267 2.3499999046325684 8.619999885559082
4.835000038146973 53.849998474121094 0.0029555493965744972 2.2799999713897705 8.630000114440918
5.033999919891357 57.900001525878906 0.0033527647610753775 2.2200000286102295 8.630000114440918
5.994999885559082 27.010000228881836 0.002901689847931266 2.1700000762939453 8.649999618530273
7.572999954223633 28.2549991607666 0.0034789980854839087 2.130000114440918 8.649999618530273
8.593999862670898 31.510000228881836 0.0035278084687888622 2.0999999046325684 8.649999618530273
8.024999618530273 40.68000030517578 0.003125544171780348 2.0899999141693115 8.699999809265137
6.257999897003174 46.56999969482422 0.0038021563086658716 2.0899999141693115 8.75
4.764999866485596 35.790000915527344 0.003854332724586129 2.0999999046325684 8.779999732971191
4.448999881744385 42.45499801635742 0.004057989455759525 2.130000114440918 8.770000457763672
4.781000137329102 26.104999542236328 0.0046571786515414715 2.1700000762939453 8.800000190734863
4.697000026702881 24.670000076293945 0.005547546315938234 2.2200000286102295 8.729999542236328
3.9660000801086426 29.815000534057617 0.0031171285081654787 2.2899999618530273 8.6899995803833
3.2960000038146973 29.80500030517578 0.0035816680174320936 2.359999895095825 8.6899995803833
3.1500000953674316 12.519999504089355 0.0007744011236354709 3.690000057220459 8.6899995803833
2.693000078201294 42.209999084472656 0.0021291400771588087 2.759999990463257 8.670000076293945
3.628000020980835 47.54999923706055 0.002450615167617798 2.640000104904175 8.720000267028809
4.415999889373779 51.900001525878906 0.003236629767343402 2.5299999713897705 8.670000076293945
5.066999912261963 55.25 0.001797566539607942 2.430000066757202 8.680000305175781
5.684999942779541 59.849998474121094 0.0017706366488710046 2.3299999237060547 8.670000076293945
6.323999881744385 27.645000457763672 0.0021510205697268248 2.240000009536743 8.6899995803833
6.730999946594238 28.78999900817871 0.0033191025722771883 2.1600000858306885 8.680000305175781
6.718999862670898 31.385000228881836 0.0038425507955253124 2.0899999141693115 8.670000076293945
6.741000175476074 69.8499984741211 0.0032989049796015024 2.0299999713897705 8.680000305175781
7.545000076293945 73.80000305175781 0.0033224683720618486 1.9800000190734863 8.680000305175781
9.081000328063965 73.75 0.003586717415601015 1.9500000476837158 8.6899995803833
10.199999809265137 73.75 0.0038173042703419924 1.9299999475479126 8.6899995803833
9.836999893188477 63.650001525878906 0.005231120623648167 1.9199999570846558 8.720000267028809
8.277000427246094 45.68000030517578 0.004985386040061712 1.9299999475479126 8.739999771118164
6.805999755859375 49.14500045776367 0.0054465592838823795 1.9500000476837158 8.75
6.239999771118164 40.76499938964844 0.0046470798552036285 1.9900000095367432 8.779999732971191
6.179999828338623 55.20000076293945 0.005845457315444946 2.0399999618530273 8.760000228881836
5.810999870300293 49.3849983215332 0.0067964172922074795 2.0999999046325684 8.789999961853027
5.00600004196167 40.11000061035156 0.0035395901650190353 2.180000066757202 8.6899995803833
4.335999965667725 40.099998474121094 0.0035682034213095903 2.259999990463257 8.6899995803833
4.215000152587891 40.09000015258789 0.00357998488470912 2.3499999046325684 8.880000114440918
3.0829999446868896 10.819999694824219 0.0006128221284598112 3.6700000762939453 8.710000038146973
3.9509999752044678 12.885000228881836 0.0009726719581522048 3.5199999809265137 8.649999618530273
2.927999973297119 44.404998779296875 0.0018564756028354168 2.700000047683716 8.619999885559082
4.308000087738037 38.3849983215332 0.0037045355420559645 2.5799999237060547 8.600000381469727
4.998000144958496 56.20000076293945 0.0036792890168726444 2.4600000381469727 8.619999885559082
5.335999965667725 72.5999984741211 0.003384743817150593 2.3399999141693115 8.640000343322754
5.724999904632568 80.44999694824219 0.0033056375104933977 2.240000009536743 8.640000343322754
6.505000114440918 46.959999084472656 0.0037937406450510025 2.140000104904175 8.649999618530273
7.565999984741211 49.41999816894531 0.004298674874007702 2.049999952316284 8.710000038146973
8.284000396728516 44.26499938964844 0.005619920324534178 1.9700000286102295 8.739999771118164
