subhalo_id,soap_row_index,total_formed_mass,stellar_mass_current,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_0_mass,elem_1_mass,elem_2_mass,elem_3_mass,elem_4_mass,elem_5_mass,elem_6_mass,elem_7_mass,elem_8_mass,elem_9_mass,elem_10_mass,elem_11_mass
3008622,89497148,9.479921340942383,9.479921340942383,0.3501034343920873,5.945103434392088,5.595000000000001,7.135103434392088,6.785,7.745103434392088,7.3950000000000005,10.305103434392088,9.955,13.705103434392086,13.354999999999999,13.705103434392086,13.354999999999999,0.14339648493654894,0.14339648493654894,0.07369196757553427,0.08281256018682226,0.09996700423296849,6.902268586913124,2.442795944341924,0.01738296678994513,0.006448281947656939,0.06669085947385407,0.018027388650010783,0.00747433687696833,0.007621233502454104,0.009906982601213775,4.0545624514613565e-07,1.245012436122263e-07,4.324359021770818e-09
4242002,89514185,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5812773,89636971,11.21159029006958,11.21159029006958,0.2602746956964996,2.6352746956964994,2.375,3.0952746956964994,2.835,4.685274695696499,4.425,5.9252746956964994,5.665,13.105274695696501,12.845,13.105274695696501,12.845,0.8330279768440572,0.8330279768440572,0.1763668430335097,0.11977546767830537,0.37639009585195743,8.21894433698617,2.8591476435540244,0.016371918399052904,0.006007747413772278,0.06935113771150174,0.018378473212093956,0.00775175935816996,0.007351711005835603,0.0075768281786988976,2.645094035837003e-07,8.989855374929746e-08,3.622173755213058e-09
813111,89653022,13.436988830566406,13.436988830566406,0.23744980814226913,3.432449808142269,3.1950000000000003,4.092449808142269,3.8549999999999995,4.462449808142269,4.225,4.5624498081422695,4.325,10.372449808142271,10.135000000000002,10.372449808142271,10.135000000000002,0.4424315088521377,0.4424315088521377,0.1297016861219196,0.3161862114075595,0.2961064687938723,9.801982757635415,3.4513839334249496,0.023138075279490758,0.008429461691200141,0.09393498476581225,0.025116744348189356,0.010407996745627132,0.01010005972278432,0.011235819916537961,4.59024876017012e-07,1.540130566119364e-07,5.334359735849075e-09
73168,89719800,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386064,89719802,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385786,89722580,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1632029,89770116,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813903,89780772,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178612,89788878,8.104019403457642,8.104019403457642,0.2741564780849453,3.839156478084946,3.5650000000000004,7.269156478084946,6.995,10.249156478084945,9.975,11.559156478084946,11.285,13.729156478084946,13.455,13.729156478084946,13.455,0.3396393386300926,0.3396393386300926,0.07147962830593281,0.07556493126692347,0.16222796606764964,5.87583786691539,2.100852413161192,0.016239450023817693,0.006314131857051807,0.06166234475155349,0.016728835719955593,0.0069825560334302325,0.007374223552575279,0.01064017767366513,4.192721515270558e-07,1.1503379211808633e-07,4.398575229650791e-09
