track_id,HaloCatalogueIndex,DoR
66897,66897,0.6679699000879449
9394,9394,0.6300940129498068
180003,180003,0.6449354800259841
1639847,1639847,0.6303525706110041
13769,13769,0.6254047189121353
7765873,7765873,0.6141653144751581
172779,172779,0.603381470384433
117,117,0.6275227129805966
137,137,0.7246507183723369
2202,2202,0.6428003357760255
21185,21185,0.6744277369607915
222292,222292,0.751421832197312
389228,389228,0.6204523621508219
1930598,1930598,0.7659649151582323
1041141,1041141,0.6288302619508289
12185,12185,0.6501444509825213
87007,87007,0.6390490587279235
23249,23249,0.6910466717245218
230061,230061,0.6299293725877742
492195,492195,0.6102281962673806
3070295,3070295,0.6288626943285041
4675449,4675449,0.6354062622942463
11518,11518,0.6773868908797168
8057005,8057005,0.6787278566633401
13736,13736,0.6507552584864124
1283,1283,0.6363664465748146
26620,26620,0.6173019414010313
83855,83855,0.6538871999543966
1085,1085,0.7154140447221113
436370,436370,0.6540751918889693
14295,14295,0.6245153530793502
481813,481813,0.6063854464961596
9046,9046,0.6074931403874908
10640,10640,0.6921869778106973
10925,10925,0.6026098339967293
16180,16180,0.612667007865855
22287,22287,0.6216952430037197
6,6,0.6170304384007274
189198,189198,0.6527084386733543
852408,852408,0.6102566340549741
92228,92228,0.6723252642591783
212715,212715,0.621481369873165
213887,213887,0.6037590214610941
213921,213921,0.6638822446218882
446417,446417,0.6054659357526995
458066,458066,0.6516674627343886
3259950,3259950,0.6821758476841361
6163743,6163743,0.6326905096561485
219205,219205,0.6393964317361037
6220689,6220689,0.6146987223716674
1038537,1038537,0.6393870353666818
24097,24097,0.6957839270194897
496354,496354,0.6951702056938576
440402,440402,0.6630611435285877
949881,949881,0.6041948742006057
210509,210509,0.6337119082588679
1528,1528,0.6590177376839111
191081,191081,0.6289114088051336
94291,94291,0.7280143651632898
219478,219478,0.6251911782760996
503246,503246,0.6209744491158872
1205136,1205136,0.6632527310407051
273895,273895,0.6836118974326965
5084444,5084444,0.6986605341616432
26207,26207,0.7092491364456447
84311,84311,0.642574602698517
95655,95655,0.6007258130434611
618882,618882,0.6032749928428384
247485,247485,0.6430505535495931
1082423,1082423,0.6141154387892174
440671,440671,0.6303379458585948
441113,441113,0.6457809342363422
452771,452771,0.7014374426816287
22687,22687,0.6528071359249324
997271,997271,0.7158060094729007
1949005,1949005,0.6827678046846778
8334619,8334619,0.6019892364773224
586754,586754,0.662269889249979
38928,38928,0.7001674284509436
41035,41035,0.7115193264449186
278070,278070,0.6284698774399505
2297558,2297558,0.6516478433298971
1447,1447,0.6301166461410381
1441,1441,0.6487456899557719
619839,619839,0.6177997823622543
1251236,1251236,0.6691705108789057
241428,241428,0.6526867870672473
2054342,2054342,0.6609140305674132
31289,31289,0.6558750792425047
31425,31425,0.7121448930056647
276701,276701,0.6864561573361443
124006,124006,0.708006934464982
278766,278766,0.6437918164152011
616954,616954,0.6753818949989485
109773,109773,0.6681797863413991
3912,3912,0.6421554960680002
39462,39462,0.6747854291495544
2342292,2342292,0.636423827633617
30183,30183,0.6255150526210883
249079,249079,0.641643288767492
2787,2787,0.6595594646967534
245320,245320,0.6455451186602607
1253127,1253127,0.6841291015986833
254368,254368,0.60241394492698
112613,112613,0.6605201242893689
32775,32775,0.6162988703853376
114191,114191,0.7236870894049207
35091,35091,0.6243112071871334
1163788,1163788,0.7044939568998947
547265,547265,0.6033446959629175
27954,27954,0.6320348375243361
38569,38569,0.601280521128829
110495,110495,0.6881217156872337
226,226,0.6651580821335206
1236391,1236391,0.6916900201316806
1237182,1237182,0.6508080914560083
243904,243904,0.6090002615393302
32662,32662,0.6240056344216605
112935,112935,0.6687672414243684
113454,113454,0.6272442875257234
113721,113721,0.6045801895995093
543981,543981,0.6077626566056297
545747,545747,0.6903547198039267
545783,545783,0.6829272630534752
2146180,2146180,0.6096676688676959
34839,34839,0.6795322669738485
581214,581214,0.6771729679376576
1175888,1175888,0.6683748517188111
44663,44663,0.620560470015476
1052627,1052627,0.6304637685133673
2465614,2465614,0.6226612854506913
115874,115874,0.7328957149625412
