track_id,HaloCatalogueIndex,DoR
765512,765512,0.6583539923286436
775921,775921,0.6014065745857468
809503,809503,0.6315994382294959
25311,25311,0.6061328658656949
83700,83700,0.6566717963671045
2860534,2860534,0.647990293420894
8002,8002,0.6010852373195695
1874277,1874277,0.6267316195050473
17066,17066,0.6137409075294514
552,552,0.6904961368601793
553,553,0.7124777848063014
71883,71883,0.6492821745148009
72033,72033,0.6611736134081211
74170,74170,0.6329071544436423
74285,74285,0.6951509463023098
100031,100031,0.6839624251195557
798108,798108,0.638630359266431
1977002,1977002,0.6153248005596197
3028815,3028815,0.6531510103884934
97114,97114,0.6621051872474024
9659,9659,0.6204142004366383
496129,496129,0.6820498448598892
77613,77613,0.616261287245523
16955,16955,0.6093009881349091
23328,23328,0.6325683073057371
100221,100221,0.7144579189526166
229037,229037,0.627827642640436
229539,229539,0.6364485035977898
4679778,4679778,0.6001942545673514
2226,2226,0.664697544972055
435755,435755,0.653036736824823
436157,436157,0.632480981104096
1782066,1782066,0.7404743771822154
10571683,10571683,0.6680773258759971
215760,215760,0.6355447257667793
995106,995106,0.6802090174058896
1011731,1011731,0.6443797003773413
25850,25850,0.6657124844476187
9581,9581,0.6915810848661282
185825,185825,0.6589066725443175
415368,415368,0.6877238228986977
884010,884010,0.6028653478303433
1699510,1699510,0.652445029846908
884395,884395,0.6390632154935596
1415,1415,0.6206592467390807
503453,503453,0.623574460789296
9952,9952,0.6148557942710099
12172,12172,0.6559461671706917
423945,423945,0.6160925936924683
415381,415381,0.6453416373556711
7598,7598,0.7014676441642759
8411,8411,0.6602161561269901
80788,80788,0.6622087069885517
80976,80976,0.6033654774044561
189514,189514,0.6548322989200139
189629,189629,0.69951897542127
189716,189716,0.6626176341494049
190293,190293,0.7092008799549306
413656,413656,0.6699043556650096
1648535,1648535,0.6011675726480279
1703813,1703813,0.6366114684190697
83271,83271,0.684790105962043
471061,471061,0.6833864921403746
1896059,1896059,0.6838720708795906
1970,1970,0.6209475595063677
985428,985428,0.6592798960628986
104782,104782,0.6943957712516015
1040964,1040964,0.6432128055050877
3198019,3198019,0.6124418973164785
15531,15531,0.66689122433132
15398,15398,0.6415685020249383
15788,15788,0.6506497685922836
460550,460550,0.6869908876345444
1685,1685,0.6598136854666824
17559,17559,0.6162753120910791
17910,17910,0.6208004211758845
18005,18005,0.7227492410942181
18413,18413,0.6218062366987339
458677,458677,0.686697642801295
943990,943990,0.6360825254458574
1817624,1817624,0.6470367911485998
1852695,1852695,0.6577851205454481
1870301,1870301,0.6936497593756278
3299260,3299260,0.619763767025986
6098149,6098149,0.6011218372668866
107,107,0.6579168815021977
20315,20315,0.6397176478391793
218204,218204,0.6999881300551886
218313,218313,0.685368226449491
8251358,8251358,0.6280103559279913
2022282,2022282,0.690100320212374
103252,103252,0.6399017231499968
23874,23874,0.6440065273446565
496985,496985,0.6628986367088184
81796,81796,0.6447050287842978
1708028,1708028,0.6374923191842267
18408,18408,0.7739284345876163
2330,2330,0.6139142587520242
24297,24297,0.7042781962206558
18028,18028,0.7003127085380463
1867573,1867573,0.6459186292607492
1172843,1172843,0.6280945210452531
964959,964959,0.678977150618202
1027827,1027827,0.6526772959494253
7997,7997,0.7331995762812181
239461,239461,0.6225507894912651
21069,21069,0.6777893009987741
482149,482149,0.6481326706955381
280889,280889,0.6612462848563534
4191,4191,0.659869495975509
2370827,2370827,0.6584083080664815
237565,237565,0.6365896034080193
246865,246865,0.6617600857676199
29739,29739,0.6081111756949498
1317,1317,0.7586374718540401
1350,1350,0.621941451538026
14823,14823,0.6807473739389485
571874,571874,0.7033460608211456
22568,22568,0.6249553254607334
99036,99036,0.6661844889650163
4253,4253,0.6215317279475285
19217,19217,0.6954969942631268
127129,127129,0.656771434015632
216550,216550,0.6588044417999849
284458,284458,0.7116675477635107
600989,600989,0.6187741132299455
1950115,1950115,0.6103629922430767
590734,590734,0.6033133299434295
304,304,0.6521650115556714
602429,602429,0.6932706303643063
41178,41178,0.6081134177336593
41356,41356,0.6635748267856949
1219113,1219113,0.6894189806994522
2348093,2348093,0.6708237911462418
129078,129078,0.6375284806671631
27683,27683,0.6106240165324701
537268,537268,0.6380915598157948
252431,252431,0.6610079472497637
587227,587227,0.6168696639388952
2299855,2299855,0.6596370304335647
39339,39339,0.6533108203535366
3843,3843,0.6912472697372388
43678,43678,0.6210874896163027
3471263,3471263,0.6077150067294418
29113,29113,0.6004966686491379
29125,29125,0.6857704775717242
245505,245505,0.6102369265141454
2081964,2081964,0.6596498656054957
1254911,1254911,0.6764094725843792
44523,44523,0.6064688200675034
112514,112514,0.6804460923564565
112637,112637,0.6969642700465215
541846,541846,0.6490138629232616
1095974,1095974,0.6429123488267003
1125165,1125165,0.6180330776660589
561091,561091,0.6546967874871191
258026,258026,0.6757229738568599
127454,127454,0.6275766955159647
586019,586019,0.6714912439164086
129308,129308,0.6189566768837892
40638,40638,0.6469504784134035
2224712,2224712,0.6387213563394316
126915,126915,0.6322243090380213
4323,4323,0.6001028217200032
250132,250132,0.6367544063618816
42536,42536,0.6195340219782417
645160,645160,0.6361371555496546
308423,308423,0.6387986712863496
48750,48750,0.6918444995272178
34442,34442,0.6209260924046233
271684,271684,0.6642799875957334
3173,3173,0.6360965679873668
31990,31990,0.6643157340920557
32330,32330,0.6476142037663953
49186,49186,0.6339485458575399
49188,49188,0.6378597937533205
1107677,1107677,0.6316649978290075
1109054,1109054,0.6178003059705462
11322651,11322651,0.6499601665799971
