row_idx,subhalo_id,total_formed_mass_Msun,t50_lookback_gyr,t75_lookback_gyr,t90_lookback_gyr,t95_lookback_gyr,t_fin_lookback_gyr,t25_lookback_gyr,t75_lookback_gyr_for_span
0,7758881,49606069635.0,5.101765471408871,7.565828314925571,9.930386234132802,10.89626523477761,13.072490927291483,3.0928579289488427,7.565828314925571
1,13282215,14700651909.25,7.858657072577633,9.239487380308194,10.806383973444463,11.545789086824072,13.250224278348947,4.508079264748814,9.239487380308194
2,731327,79677838720.0,9.309755223883062,10.84324930468627,11.519404876134246,12.052664254751175,13.131086912151423,8.26723064819487,10.84324930468627
3,7387848,14439007098.75,5.7797491995189665,8.804596588206616,10.01624396856428,10.815000000000001,13.040583972964539,2.5740757081825425,8.804596588206616
4,16321933,4150829836.375,4.872310868074008,7.251928982310795,9.314204122276449,10.80450560756851,13.107864636485651,2.21726708107134,7.251928982310795
5,733552,40904811694.5,11.44544557303452,11.968311470726904,12.294087860544163,12.589557208462812,13.275,9.992219415717749,11.968311470726904
6,9756718,9150467744.125,4.045855217759471,6.765665369122436,9.437534283968896,10.475622521579906,13.003009441748942,1.8815334544237357,6.765665369122436
7,2795495,2158278527.75,4.34964328721597,7.05880574685823,9.69539075078736,11.224171119623243,13.18062117184858,2.0348796139660754,7.05880574685823
8,1468890,10376888698.0,6.7150552212027925,9.776809077264485,11.085960552331604,11.641074508909838,13.150816673309773,4.699219034628928,9.776809077264485
9,16357697,4079378348.875,3.690271871416966,6.40622622599795,8.396400172095403,10.271812501468471,13.226134814311044,2.1505811249669966,6.40622622599795
10,1472766,11465251344.0,6.714104351816992,9.425,10.989016462887973,11.611555132263621,13.119538962492475,3.692537007563486,9.425
11,2809778,9505244477.125,4.670538903952746,7.054588219341505,10.686428938800049,11.730273881309039,13.196305226376733,2.654925760887386,7.054588219341505
12,4383120,16289944574.875,3.987955702299216,6.665279474143394,9.073231207677807,9.933644226377519,13.106635765210214,2.331135400793939,6.665279474143394
13,26169940,2260849443.25,4.366258916358471,6.657151063826653,9.590352185192929,11.777430636640927,13.293756463340905,2.8602804651387554,6.657151063826653
14,60869,32553430914.875,7.295219714537403,8.709765299106381,10.231720744232307,11.33585003658463,13.131880343123532,4.327505021466168,8.709765299106381
15,347374,10043516008.25,5.646091962803872,7.637197588727712,10.619739041735931,11.53028386382738,13.159604252976111,3.8247022298374147,7.637197588727712
16,2783085,15448623888.25,5.306059289255994,8.608408123930998,11.026780091343033,11.969940740369614,13.21268855381929,4.100285920601239,8.608408123930998
17,9727958,6102567737.0,4.401280294354607,6.035167384059408,9.411085851501788,11.30826009021061,13.11004884975107,2.3852706116458866,6.035167384059408
18,26101772,7730057326.125,7.586266866229647,9.437798679809228,10.910573616774908,11.511057175755335,13.22187294816139,4.976455387894745,9.437798679809228
19,2799028,3447462612.5,2.0813850659747057,4.130820190085634,8.026404551610387,10.874824181219266,13.195155247567158,1.0157467675536898,4.130820190085634
20,733485,6955577017.625,6.29208020782111,8.400676874818929,9.635530538480053,11.36102805144086,13.175,3.298151570252254,8.400676874818929
21,9763151,2919199661.5,7.983468808449839,10.044222754866412,11.158881805327358,11.640179019148151,13.181679444230507,4.266208812497962,10.044222754866412
22,62188,9042006093.25,4.2008851354057315,6.1240691899198145,8.074770438745622,10.233069737617658,13.213935252271659,2.485333417414399,6.1240691899198145
23,158660,76154547415.625,9.247383577608234,10.449110569873056,11.664092626106475,12.255562632624505,13.142301989514655,8.796577988762907,10.449110569873056
24,2805781,4468968144.5,5.051830022127493,8.849885000815155,10.598322162296846,11.568249358216326,13.193003700757439,1.6916505722058395,8.849885000815155
25,32505842,2198994235.375,6.363704874111371,8.533911493929274,10.415595509636152,11.82860579685525,13.16773979972138,3.092783687488128,8.533911493929274
26,16372540,8802299052.5,6.383083699417245,8.940995002828231,10.404381350640863,11.356665913074208,13.181353394047557,2.684975656333473,8.940995002828231
27,352434,23401414297.0,7.67987850851906,10.457537697454958,11.65697795354987,12.004687401483407,13.167754319049509,3.224428155206315,10.457537697454958
28,76292,5012193867.125,10.527933635688882,11.924780563749783,12.714327703132863,12.895899934693484,13.39732530244574,7.850020135976978,11.924780563749783
29,159573,142132090846.25,9.489924667479634,10.397843825907085,11.34660018702083,11.83974394793599,13.107118780069364,7.461245108409069,10.397843825907085
30,5866580,3776781892.375,7.107442297761801,10.480341780311303,11.730804943436405,12.280522988965679,13.333844827818977,4.3814274349758655,10.480341780311303
31,2781634,4702193474.625,5.878826899227271,8.502344805381544,10.328091318002814,11.493527521189282,13.181123249841145,3.8808709242985846,8.502344805381544
32,5526667,3039209267.25,4.634019499764112,7.225800373231885,10.357935996713369,12.079021329250036,13.167549889935898,3.2490271551095176,7.225800373231885
33,50596485,1884859365.125,3.197322369005452,6.289812105070183,9.750184956271188,11.07730432181087,13.203510158350955,1.3999969659813225,6.289812105070183
34,1468082,2357879913.125,6.074297195881635,9.58125050605996,11.436511945026112,12.258133900334617,13.267639888583751,3.968826038381322,9.58125050605996
35,1678114,22616889634.875,5.6475323483303885,7.0033778440225305,8.844657155305985,10.101824421744798,13.101032841229452,4.187317426581925,7.0033778440225305
36,3145819,4275648322.75,7.210562258494572,8.994543777412545,10.967623659481442,11.618542317734658,13.220592846428824,4.09133636587825,8.994543777412545
37,7865135,5609060648.75,7.792618542536588,9.80580123316535,10.633042538964238,11.382492453512183,13.000994669761907,5.15089349009119,9.80580123316535
38,1469536,17437846164.75,6.790507312062722,9.204192146229893,10.691786931455976,11.496512918977508,13.146346739266155,3.6068926018416385,9.204192146229893
39,4085123,4799240616.5,7.418629563316791,8.929916790508464,10.789332539240814,11.403848921154927,13.119889935769498,4.71789467723637,8.929916790508464
40,739066,44965919529.875,5.49068355815828,7.884638775680523,9.584663309474694,10.67779391577579,13.09456160909811,3.3352421808798547,7.884638775680523
41,4085729,1760419773.625,4.3860148920151705,5.768093832152667,8.744084103227376,10.95970261280245,13.195153058633306,2.7926347009274872,5.768093832152667
42,9775765,6616425524.0,3.271877674551878,4.831356454385161,6.811726624563062,9.451557911401899,13.118761382512345,1.266586326215559,4.831356454385161
43,12727885,1786291862.0,2.9768746614926767,6.863301285575452,8.916403415376399,10.003625318084584,13.039787148714213,1.532485496585657,6.863301285575452
44,1474878,3762810451.5,9.388919359606625,10.85529068346115,11.780183787017165,12.242269102220089,13.182552646988263,6.57518164709615,10.85529068346115
45,738533,3005294598.75,5.325857771396329,8.066412981873418,9.959371477341561,10.872878127686572,13.09066811810508,2.4322303074540708,8.066412981873418
46,728611,3752866229.0,4.493438019334784,7.61097778576219,10.902413097866525,11.934269944929042,13.221400056890703,2.128791558428499,7.61097778576219
47,6105,128456144751.0,8.97628960443381,10.415430058357058,11.549523992572611,12.202432769665743,13.165000000000001,6.046873766911353,10.415430058357058
48,731341,20339333087.25,4.782921433427996,8.126983196253608,10.23991745920307,10.952872664908824,12.98845798696785,2.9200618722458316,8.126983196253608
49,731624,26705833224.625,5.983435041641952,8.349266614044206,10.287171672059523,11.18290293682924,12.989117514020155,3.8874696020656234,8.349266614044206
50,7383619,5118015192.25,3.8790083257659167,6.452431114067614,7.935210063019569,9.110270343960728,11.998720378897888,1.9306203333303995,6.452431114067614
51,5531139,23924658673.0,5.725504508155665,7.879265892802566,10.470529302881124,11.33718362929273,13.220006183994302,2.9805789545610426,7.879265892802566
52,356096,2006434585.125,5.930677365371444,7.678369701872133,9.785,11.703530954341762,13.38178869543025,4.664687778634028,7.678369701872133
53,1672105,26348061153.375,5.688636376400224,8.001401669148937,9.973910456415705,10.996327410818468,13.178856396697293,4.311105855994392,8.001401669148937
54,61828,44228558921.375,6.015464165839812,8.067350140059396,10.050612023421008,11.308041432111867,13.080310554891092,4.936793653016124,8.067350140059396
55,350019,1667009067.25,7.903901134815476,9.537808485480873,11.230225296912534,12.139740079797086,13.38582291207627,6.475761989060581,9.537808485480873
56,405136,6722835419.125,6.874032588249158,8.817694992282673,10.144197834734497,11.47518737184013,13.16156091575629,4.932368876700157,8.817694992282673
57,732778,12760798030.375,9.149652889564468,10.661819963509883,11.653921503796008,12.070487347235389,13.231452631417998,6.666354423969919,10.661819963509883
58,733197,4457346309.0,3.592640985501168,6.420801380484724,9.450546943446648,10.871568583853552,13.105,2.2245786366205365,6.420801380484724
59,842564,1836255955.375,8.705382193466388,10.386648980613533,11.601922395622786,12.173229978770063,13.373263804707998,7.254831105321756,10.386648980613533
60,1468329,1689697482.5,8.089155862357883,10.331669975644425,11.364658522025282,11.942726176653146,13.385902375030149,7.377675714468458,10.331669975644425
61,1468625,40536273187.625,6.626134330678327,8.62456769846153,9.420273663582746,9.712535165501915,12.775,3.815679911036317,8.62456769846153
62,1672243,3288688945.75,6.528087865261501,8.417337049651907,9.900443695290916,11.300479361158837,13.197218801583661,4.243610885105849,8.417337049651907
63,2798475,15268188870.0,8.447631064152267,9.94122752849479,10.929448846584032,11.570242754648877,13.121090691807103,7.217975466768419,9.94122752849479
64,3145974,3747733269.75,5.444054803119346,7.300725029473977,10.32575515858767,11.410379633661268,13.162724785880078,3.0304182633130727,7.300725029473977
65,5533110,10010235173.625,6.704846448226247,7.983827880709918,9.164372670571831,10.1646910458524,13.0811991970159,3.837560653300238,7.983827880709918
66,7450426,8003145276.5,5.166586517118475,7.986757759631091,9.78416984481487,10.725000000000001,12.99389647562566,2.9877345420654744,7.986757759631091
