subhalo_id,soap_row_index,total_formed_mass,stellar_mass_current,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_0_mass,elem_1_mass,elem_2_mass,elem_3_mass,elem_4_mass,elem_5_mass,elem_6_mass,elem_7_mass,elem_8_mass,elem_9_mass,elem_10_mass,elem_11_mass
1839001,12018223,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,12131827,10.773216724395752,10.773216724395752,0.24899179421020962,2.98399179421021,2.7350000000000003,4.42399179421021,4.175,7.39399179421021,7.1450000000000005,8.60399179421021,8.355,13.573991794210208,13.325,13.573991794210208,13.325,0.6278698121322407,0.6278698121322407,0.11976047904191617,0.08498684886279181,0.2775390466789829,7.856001063250005,2.769583530316595,0.01878489551886218,0.006985583646705796,0.07393110533645489,0.019919058189734072,0.008215980671478714,0.008257375773538467,0.010279307912903778,4.1800964343035997e-07,1.3088681046189924e-07,4.6547800883588e-09
221051,12131832,11.525422096252441,11.525422096252441,0.28966834550659765,4.524668345506598,4.235,7.684668345506598,7.3950000000000005,11.064668345506597,10.774999999999999,12.384668345506597,12.094999999999999,13.734668345506599,13.445,13.734668345506599,13.445,0.4393567058970329,0.4393567058970329,0.0676132521974307,0.07628969415891332,0.19441988408445895,8.409267917275429,2.9596910909749568,0.019546011174847458,0.007287128791952406,0.07791412227556674,0.020894162248624542,0.008706345549708136,0.008907901106898196,0.011773446474691378,4.406620838553997e-07,1.3105345029997502e-07,5.063416003891885e-09
982499,12131843,11.265439510345459,11.265439510345459,0.301397486936325,2.996397486936325,2.695,3.866397486936325,3.565,5.246397486936325,4.945,6.236397486936324,5.935,13.306397486936326,13.005,13.306397486936326,13.005,0.5892389522960919,0.5892389522960919,0.1402524544179523,0.10817926140646747,0.2792235560401706,8.263451688922942,2.871766615426168,0.01648676830664148,0.006040943419000203,0.06612975710305208,0.01774738705102334,0.00731292035204712,0.007191754297914787,0.008305635512116888,3.5517847979504685e-07,1.1385068520751889e-07,3.892497593591274e-09
4588399,12142873,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959876,12171831,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874,12181028,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793416,12181078,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782,12196971,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19629,12196976,0.0,0.0,13.797615896896387,,,,,,,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
