subhalo_id,soap_row_index
714291,48685897
717689,49000593
718248,49061143
720278,49103912
720514,49164975
721503,49172883
724134,49191751
726526,49303542
728163,49393171
735922,49456356
736900,49516992
737278,49550256
737877,49550605
747880,49908404
751416,50027383
758788,50034931
761509,50060312
764883,50069937
766082,50197016
767667,50438416
769618,50444854
770955,50479400
771562,50479518
776018,50507776
778869,50601829
784803,50915392
785891,51150596
786082,51345560
793416,51375735
805018,51413462
806092,51433572
807260,51497612
809503,51550475
812991,51612232
815258,51637663
817454,51644197
820381,51695861
821231,51794120
839898,51837420
844903,51864859
856050,52020417
858826,52081916
865552,52174930
868437,52299758
869305,52695490
871274,52699699
884010,52777197
909970,53217779
910286,53390484
916372,53550171
925424,53638435
927634,53990705
929942,54004414
937008,54021096
939527,54098478
946668,54155985
949133,54155989
951058,54197273
953241,54568616
958172,54588138
958228,54620870
959876,54711553
977471,54860338
979716,55222074
980107,55688821
990587,55801578
995106,55934003
997544,56223035
997900,56314633
999532,56602730
1008828,56602802
1010350,56629434
1014034,56723744
1040964,56900188
1041257,56928637
1041630,57068990
1056558,57116479
1063756,57126057
1084519,57174348
1085786,57174358
1092906,57241170
1101316,57896011
1105045,58120535
1121833,58408532
1127010,58456464
1128690,58471298
1134909,58514369
1155884,58614280
1165966,58847637
1166700,58892057
1188948,58947258
1190661,58963070
1192409,58963342
1195883,58963642
1197986,59151077
1198912,59282219
1207848,59334509
1211176,59406918
1218474,59411472
1218700,59411473
1224517,59411625
1236310,59411628
1243661,59679428
1252858,59679495
1259617,59761311
1262810,59835077
1265845,59959373
1270772,60474903
1278676,60572243
1286967,60867271
1296845,60879624
1299170,60977066
1302165,61411150
1304129,61415422
1305066,61458589
1306025,61613739
1306033,61620910
1313820,61740245
1316768,61789763
1319946,61789765
1328813,61815175
1335263,61895081
1338299,61927936
1339152,61963787
1343242,62101777
1343832,62250151
1353319,62263543
1359463,62338399
1362297,62383159
1365176,62639733
1366265,62673337
1373485,62912789
1374997,63189298
1389629,63477985
1395540,63689573
1398403,63712883
1429301,63712904
1443347,63712933
1444567,63768429
1447963,63852250
1451575,63863863
1454545,64016962
1465137,64079355
1508619,64138175
1514116,64391640
1518042,64531102
1519141,64743421
1543843,64845527
1545046,64879458
1558244,64914352
1560918,65015790
1565993,65182702
1568419,65185354
1580884,65206706
1582208,65346182
1582670,65371815
1584533,65375111
1585102,65407307
1590258,65548416
1595734,65605031
1598943,65657099
1602619,65772650
1602951,65920437
1610743,66172723
1632029,66294718
1643725,66357388
1655189,66371615
1660385,66427289
1694775,66476958
1699510,66585514
1729256,66629594
1740703,66629602
1763265,66629611
1807195,66629665
1816225,66629670
1816792,66629985
1826560,66663609
1845543,66697313
1852695,67010579
1867031,67348396
1898333,67348397
1922533,67383877
1930719,67716190
1936157,67716278
1948311,67755880
1950115,67812724
1983319,67821419
1991595,68038860
1998775,68074704
2018512,68159879
2152268,68294652
2154906,68483805
2168337,68495575
2176118,68612724
2189976,68763915
2195254,68787825
2245012,68909620
2299855,69100531
2300264,69301514
2313830,69323983
2356795,69668292
2358912,69674198
2367800,69722423
2370827,69852134
2371569,70237018
2386713,70260843
2399247,70304933
2446903,70346227
2498060,70403301
2517790,70498122
2517817,70506673
2519079,70506720
2519970,70582944
2531523,70813084
2592715,70940646
2604197,71026200
2615072,71107760
2628933,71453483
2659870,71473435
2664151,71586396
2679391,71848940
2748961,71863480
2764112,72107228
2787149,72284927
2788924,72372293
2791247,72377329
2798856,72432333
2821316,72539540
2821775,72597471
2858896,72616299
2860570,72822351
2873509,73090253
2879816,73093686
2912076,73093707
2920402,73143643
2961966,73159426
2969809,73199962
2976295,73267346
2985024,73320803
3002166,73373820
3016722,73428428
3028815,73652617
3038986,74022148
3047787,74117704
3062586,74137505
3099697,74192769
3100994,74306987
3198019,74309956
3229802,74464862
3281252,74643832
3294832,74722053
3517151,74733798
3570855,74740152
3571883,74836275
3573819,74844223
3579899,74886451
3623303,75082255
3685356,75082260
3690937,75510173
3692674,75555133
3700629,75614300
3709096,75625056
3740743,75743200
3778695,75871914
3812002,76181526
3837136,76302309
3838812,76816344
3847645,76924461
3863778,76978435
3868931,77246451
3873052,77275379
3899885,77568877
3945845,77715666
3964165,77816524
4008456,77839291
4017469,78342726
4038697,78650690
4044806,78840917
4109323,78862909
4110512,78970230
4143488,78970302
4196479,78970471
4207280,79061232
4213754,79533522
4226390,79589502
4273779,79853806
4319750,80441932
4450148,80452446
4588399,80495282
4599977,80641027
4650466,81046238
4706049,81295917
4731537,81834146
4811570,81946813
4877512,82104299
4995580,82127726
5108326,82152967
5167556,82291906
5177647,82437841
5177871,82664082
5227792,82773708
5312869,82778879
5577975,82778889
5590835,82778910
5620927,82995325
5647818,83016374
5790790,83183339
5812773,83309896
5881245,83637371
5935216,83732486
5986887,84203252
6105192,84273127
6657709,84415730
6691755,84511702
6705763,84623483
6818107,84778213
6905067,84791711
6942517,84907672
6967252,85251744
6991770,85779735
7120330,85793825
7144050,85858719
7205546,85919569
7294625,86141751
7302468,86214594
7416846,86314726
7670343,86406247
7720016,86479428
7757489,86570273
7931028,86670052
8018381,86749841
8074141,86754553
8150342,87159755
8251358,87205130
8406904,87500318
8417666,87581512
8461425,87682160
8510907,87688304
8719371,87740088
9122512,88087766
9175502,88173578
9440169,88391316
10039040,88454561
10571683,88559140
10854404,88627405
10858706,88627494
11039252,88661719
11322651,88984133
11867901,89041646
11983390,89047523
12274842,89206494
12793863,89452127
13112057,89636971
13656576,89770116
14624354,89844942
15759602,89917565
16101837,90006208
17120162,90078592
17841579,90293678
18364834,90293836
19530271,90509652
19535611,90676180
22838652,90952638
31349037,91070217
