subhalo_id,soap_row_index,total_formed_mass,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_H_mass,elem_He_mass,elem_C_mass,elem_N_mass,elem_O_mass,elem_Ne_mass,elem_Mg_mass,elem_Si_mass,elem_Fe_mass,elem_Sr_mass,elem_Ba_mass,elem_Eu_mass,stellar_mass_current
7,18277048.0,106.49443697929382,0.1940384309324374,3.1690384309324378,2.9750000000000005,5.799038430932438,5.605,8.849038430932438,8.655000000000001,10.969038430932436,10.775,13.589038430932437,13.395,13.589038430932437,13.395,0.5159677408677259,0.5159677408677259,0.0892060660124888,0.0799135086188627,0.2283624384996924,78.3479003503453,27.015135903959163,0.1351312070321582,0.0493312434798087,0.588574112179057,0.1534536107464693,0.0653035054021704,0.0631012481435541,0.0696903711542084,2.405814589921984e-06,7.852633046775062e-07,3.209633735831916e-08,63.96801020450948
9,18042718.0,8.595271110534668,0.2031515688955932,4.348151568895593,4.1450000000000005,4.788151568895593,4.585,5.058151568895593,4.855,7.558151568895593,7.355,13.168151568895595,12.965000000000002,13.168151568895595,12.965000000000002,0.2575035546686682,0.2575035546686682,0.109051254089422,0.1110783129744268,0.1592110405775057,6.264238850213587,2.210638959368225,0.015156689211681,0.0055713813159467,0.0612091853476619,0.0164322129318782,0.0068695888148088,0.0066915781040113,0.0076032613233513,2.810759124360539e-07,9.20383700500564e-08,3.46869396917256e-09,5.138086431012198
91,15472927.0,25.272600889205933,0.1770090808365352,1.5720090808365352,1.395,3.6120090808365353,3.435,4.682009080836536,4.505,5.102009080836536,4.925,6.332009080836536,6.155,6.332009080836536,6.155,0.7204206931274243,0.7204206931274243,0.1455604075691411,0.6046418424195271,0.4902076477053641,18.44178198860027,6.483734426496085,0.0419436861314031,0.0154136240969903,0.1784916266845104,0.0475244047788204,0.0199029277229252,0.0194031081824529,0.0223018683853694,8.332763608680992e-07,2.522911159467692e-07,9.975155342716717e-09,14.96098506036651
126,25624811.0,158.40794396400452,0.1893584843111082,1.9843584843111084,1.7950000000000002,3.014358484311108,2.825,5.454358484311108,5.265,7.284358484311108,7.095,13.234358484311109,13.045,13.234358484311109,13.045,0.777090233714392,0.777090233714392,0.1769911504424778,0.105280209838508,0.3531205313317926,116.44658170407638,40.21715199347818,0.2034044955824763,0.0761640314029297,0.9208273357559694,0.2396165257360147,0.1046659492283628,0.097170841145367,0.0957254296928121,3.01676213127356e-06,9.133880022013812e-07,4.4277614741131896e-08,94.17178998966848
143,16236968.0,221.75925874710083,0.2031515688955932,2.6181515688955934,2.415,6.1781515688955935,5.9750000000000005,9.438151568895597,9.235,11.158151568895594,10.955,13.628151568895593,13.425,13.628151568895593,13.425,0.5711209288469691,0.5711209288469691,0.0836820083682008,0.0777392199428931,0.2441807190526876,162.25654499861412,56.66875818709377,0.3241964285148457,0.1270107043900511,1.4755055948737867,0.3797844015727596,0.1707364886616834,0.1619984097199575,0.1782790218017702,5.026075852777626e-06,1.3819478327749711e-06,7.549016274570127e-08,133.32824763466488
272,34653871.0,8.349721193313599,0.1905028691547137,3.045502869154714,2.855,3.845502869154714,3.655,5.675502869154714,5.485,10.695502869154712,10.505,13.695502869154712,13.505,13.695502869154712,13.505,0.5940308159592961,0.5940308159592961,0.1367989056087551,0.0719411168069742,0.2675902794583418,6.111177723389119,2.135398640588392,0.0128878955058512,0.0048303405139434,0.0521149200372363,0.0139641295649194,0.0057957353156971,0.0057618609637616,0.0070142227323836,2.63557994036997e-07,8.340186359001549e-08,3.266953397137762e-09,5.0051154009925085
308,39360074.0,6.432368755340576,0.1905028691547137,4.595502869154714,4.405,5.9155028691547145,5.7250000000000005,6.335502869154714,6.1450000000000005,6.505502869154714,6.315,7.435502869154714,7.245,7.435502869154714,7.245,0.2258382441952741,0.2258382441952741,0.0873362445414847,0.5256426871926314,0.2796057253097967,4.657386417267844,1.6701849774690345,0.0135704551816525,0.0050160352055267,0.0519417286918679,0.0140281691229324,0.0058384937337989,0.0059101510408954,0.0075048378795193,3.2155265183572495e-07,9.834918122583177e-08,3.2706159895607904e-09,3.842599846917437
362,51695861.0,24.990907430648804,0.1943488221357431,1.7593488221357432,1.565,3.029348822135743,2.835,4.489348822135743,4.295,5.199348822135743,5.005,12.749348822135744,12.555,12.749348822135744,12.555,0.7750342319536592,0.7750342319536592,0.1763668430335097,0.1407935915460114,0.3640648888443934,18.33305565663613,6.365676576679107,0.0349551492476102,0.0132077161527827,0.1516737923372874,0.0399714338385274,0.0170563819927948,0.0162750279415027,0.0175524355246694,6.05488146577126e-07,1.8409556169797585e-07,7.989304871199488e-09,14.818435945249805
391,52081916.0,8.57728099822998,0.2081911129114989,3.043191112911499,2.835,3.293191112911499,3.085,4.133191112911499,3.925,9.4431911129115,9.235,13.5831911129115,13.375000000000002,13.5831911129115,13.375000000000002,0.7454962685393073,0.7454962685393073,0.1620745542949757,0.0813630344028422,0.3296446190790417,6.2625885074958205,2.199534948042128,0.0142707668520549,0.0052467037500156,0.0593675270074254,0.0159038370003369,0.0066815621405645,0.0063864526118002,0.0066584817922596,2.2072923368783082e-07,7.358447485906938e-08,3.1289216407892166e-09,5.1197346831686446
433,55747293.0,20.989726066589355,0.2034667409154245,2.3684667409154248,2.165,2.948466740915425,2.745,4.098466740915424,3.895,4.988466740915425,4.785,11.658466740915426,11.455000000000002,11.658466740915426,11.455000000000002,0.8161225586084588,0.8161225586084588,0.1821493624772313,0.2205175096648969,0.406263143583529,15.42203335906379,5.333573170762975,0.0281087349166291,0.0099294741542143,0.1223742524850223,0.0323673350100217,0.0134575807880521,0.0127761617038418,0.0137622896624447,5.461778873054732e-07,1.8318896550826042e-07,6.4370687077803694e-09,12.448079740941466
