subhalo_id,soap_row_index,total_formed_mass,stellar_mass_current,t_start,t50,t50_span,t75,t75_span,t90,t90_span,t95,t95_span,t998,t998_span,tfin,tfin_span,f_Mz2,term1,term2,term3,DoR,elem_0_mass,elem_1_mass,elem_2_mass,elem_3_mass,elem_4_mass,elem_5_mass,elem_6_mass,elem_7_mass,elem_8_mass,elem_9_mass,elem_10_mass,elem_11_mass
458919,15473177,12.723191261291504,12.723191261291504,0.308871184897673,2.973871184897673,2.665,6.103871184897673,5.795,9.073871184897673,8.765,10.673871184897672,10.365,12.193871184897674,11.885000000000002,12.193871184897674,11.885000000000002,0.5651281819304108,0.5651281819304108,0.08628127696289906,0.18935270530933263,0.2802540547342142,9.240678575122729,3.288306990172714,0.024135691077478476,0.009250246638499434,0.09693114778678033,0.02587620738989558,0.010936538304495414,0.011097684659335666,0.014324392856553013,5.082274189012352e-07,1.5117234958183397e-07,6.179445233856011e-09
460868,15473204,1.4935927391052246,1.4935927391052246,0.3896036022588782,5.124603602258879,4.735,5.874603602258879,5.485,6.944603602258878,6.555,7.654603602258879,7.265000000000001,8.844603602258879,8.455,8.844603602258879,8.455,0.060628306884641305,0.060628306884641305,0.09115770282588878,0.4379463772618574,0.19657746232412918,1.0494910599663854,0.40399327129125595,0.0048813709852388865,0.002174881468502754,0.019687603172138468,0.005182182418096787,0.002331372307238011,0.0023097976388847252,0.003109982697898417,1.1412639287995322e-07,3.166520182609485e-08,1.2243842294760765e-09
946668,15473343,8.1842520236969,8.1842520236969,0.32631648573818567,2.9913164857381855,2.665,3.9813164857381853,3.655,4.291316485738186,3.9650000000000003,4.461316485738186,4.135,4.981316485738186,4.655,4.981316485738186,4.655,0.5761044704991001,0.5761044704991001,0.13679890560875513,0.7133562762180072,0.4754198841086208,5.963377960957587,2.106109907035716,0.014736257374259891,0.00539719073637644,0.05783324477897853,0.015592256452576952,0.006442526774127347,0.006372780453644208,0.007488494745118715,3.264790740020813e-07,1.0297586222023015e-07,3.4411887651585854e-09
951058,15473384,8.305323600769043,8.305323600769043,0.35491641700614357,3.509916417006144,3.1550000000000002,4.119916417006143,3.7649999999999997,4.669916417006144,4.315,5.3599164170061435,5.005,9.819916417006144,9.465000000000002,9.819916417006144,9.465000000000002,0.3988471726696432,0.3988471726696432,0.13280212483399736,0.36474532517088065,0.2987982075581737,6.066561711253598,2.129868205229286,0.013813144057626254,0.005093903661974153,0.05535209007842867,0.01479663603075096,0.006174115724873294,0.0060194766597040684,0.006831938513878777,2.8977397610217145e-07,9.319023590753408e-08,3.1984267001125308e-09
1816225,15473456,26.204453945159912,26.204453945159912,0.2463231650236458,2.6613231650236457,2.415,3.551323165023646,3.305,5.511323165023645,5.265,6.311323165023646,6.065,7.791323165023646,7.545,7.791323165023646,7.545,0.7097964446113212,0.7097964446113212,0.151285930408472,0.5038998004329354,0.45499405848424285,19.110133110778406,6.730555722955614,0.04455666575918576,0.016407873601983917,0.18513160562051417,0.04918302304287997,0.02052487860111026,0.02035869771044573,0.024830712003258596,9.611751445712499e-07,3.0099802027303506e-07,1.0924540385972679e-08
