track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
2791656,2791656,399150.34375,GalaxyProperties_SFR_GE_0_z0.0.txt
349907,349907,103957.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
185279,185279,66952404.0,GalaxyProperties_SFR_GE_0_z0.0.txt
746670,746670,248426.40625,GalaxyProperties_SFR_GE_0_z0.0.txt
842216,842216,625534.125,GalaxyProperties_SFR_GE_0_z0.0.txt
842320,842320,1741963.5,GalaxyProperties_SFR_GE_0_z0.0.txt
5920819,5920819,19940836.0,GalaxyProperties_SFR_GE_0_z0.0.txt
7872893,7872893,258851.96875,GalaxyProperties_SFR_GE_0_z0.0.txt
5981670,5981670,1339238.75,GalaxyProperties_SFR_GE_0_z0.0.txt
20809777,20809777,260639.203125,GalaxyProperties_SFR_GE_0_z0.0.txt
21922770,21922770,121085.53125,GalaxyProperties_SFR_GE_0_z0.0.txt
158734,158734,1825368.125,GalaxyProperties_SFR_GE_0_z0.0.txt
350526,350526,311575.5625,GalaxyProperties_SFR_GE_0_z0.0.txt
12709421,12709421,152213.296875,GalaxyProperties_SFR_GE_0_z0.0.txt
12721385,12721385,3588778.5,GalaxyProperties_SFR_GE_0_z0.0.txt
1476115,1476115,202256.03125,GalaxyProperties_SFR_GE_0_z0.0.txt
7415456,7415456,85787.53125,GalaxyProperties_SFR_GE_0_z0.0.txt
1456135,1456135,2440178.75,GalaxyProperties_SFR_GE_0_z0.0.txt
9715928,9715928,626725.625,GalaxyProperties_SFR_GE_0_z0.0.txt
157196,157196,1251068.25,GalaxyProperties_SFR_GE_0_z0.0.txt
347697,347697,1171238.125,GalaxyProperties_SFR_GE_0_z0.0.txt
12683805,12683805,578470.125,GalaxyProperties_SFR_GE_0_z0.0.txt
32447941,32447941,809024.125,GalaxyProperties_SFR_GE_0_z0.0.txt
731694,731694,9894162.0,GalaxyProperties_SFR_GE_0_z0.0.txt
7445251,7445251,406299.28125,GalaxyProperties_SFR_GE_0_z0.0.txt
737794,737794,870981.75,GalaxyProperties_SFR_GE_0_z0.0.txt
4086571,4086571,167404.84375,GalaxyProperties_SFR_GE_0_z0.0.txt
16385066,16385066,336001.1875,GalaxyProperties_SFR_GE_0_z0.0.txt
737986,737986,68585.34375,GalaxyProperties_SFR_GE_0_z0.0.txt
1475305,1475305,4427590.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4084083,4084083,29434656.0,GalaxyProperties_SFR_GE_0_z0.0.txt
9780002,9780002,97106.7265625,GalaxyProperties_SFR_GE_0_z0.0.txt
9781164,9781164,1680005.875,GalaxyProperties_SFR_GE_0_z0.0.txt
9781686,9781686,8483434.0,GalaxyProperties_SFR_GE_0_z0.0.txt
12735877,12735877,272554.15625,GalaxyProperties_SFR_GE_0_z0.0.txt
12736680,12736680,559406.1875,GalaxyProperties_SFR_GE_0_z0.0.txt
727562,727562,45127.81640625,GalaxyProperties_SFR_GE_0_z0.0.txt
156841,156841,923607680.0,GalaxyProperties_SFR_GE_0_z0.0.txt
727627,727627,1453622.125,GalaxyProperties_SFR_GE_0_z0.0.txt
727990,727990,1756261.5,GalaxyProperties_SFR_GE_0_z0.0.txt
1456058,1456058,941279.875,GalaxyProperties_SFR_GE_0_z0.0.txt
2779223,2779223,131808.96875,GalaxyProperties_SFR_GE_0_z0.0.txt
2821995,2821995,173660.1875,GalaxyProperties_SFR_GE_0_z0.0.txt
5516323,5516323,17595976.0,GalaxyProperties_SFR_GE_0_z0.0.txt
7364761,7364761,3584012.5,GalaxyProperties_SFR_GE_0_z0.0.txt
1489129,1489129,1517962.75,GalaxyProperties_SFR_GE_0_z0.0.txt
2805799,2805799,4460952.0,GalaxyProperties_SFR_GE_0_z0.0.txt
734501,734501,59555612.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1468796,1468796,4751676.0,GalaxyProperties_SFR_GE_0_z0.0.txt
159037,159037,400937.5625,GalaxyProperties_SFR_GE_0_z0.0.txt
1473204,1473204,75264264.0,GalaxyProperties_SFR_GE_0_z0.0.txt
351817,351817,1079493.125,GalaxyProperties_SFR_GE_0_z0.0.txt
