population,subhalo_id,track_id,is_central,DoR,stellar_mass_msun,r50_kpc,dcont_0p3cMpc,dcont_1cMpc,dcont_3cMpc,dev_0p3cMpc,dev_1cMpc,dev_3cMpc
central,66897,66897,True,0.6679699000879449,35919429632.0,6.46209716796875,1410.2331402715752,37.10329478733253,1.0780009348902369,-0.19404501977014274,-0.3919168728076709,-0.46934760481771554
central,765512,765512,True,0.6583539923286436,17920671744.0,2.20489501953125,1388.4157220833981,57.62761815296778,6.583233238498502,-0.19758542514636537,-0.3584906753832245,-0.3747293587197408
central,775921,775921,True,0.6014065745857468,16554172416.0,1.8215179443359375,584.0171613773082,16.51377887048774,1.4216468330087948,-0.3281186057631656,-0.42544924372434473,-0.4634413740965469
central,13769,13769,True,0.6254047189121353,21278359552.0,2.712249755859375,1051.0651056652327,27.405757852961283,0.19849186663040178,-0.25232874654844195,-0.4077104158309647,-0.4844636981770215
central,8002,8002,True,0.6010852373195695,18076844032.0,2.101898193359375,637.8277055783068,28.66538921573491,6.386703925023453,-0.3193865395606706,-0.4056589627397221,-0.3781071015509852
central,17066,17066,True,0.6137409075294514,78710407168.0,4.1351318359375,3819.8934528555983,103.65891803712567,6.080829133580442,0.19698082260775285,-0.28352346256840455,-0.38336416150701147
central,172779,172779,True,0.603381470384433,11869029376.0,2.99835205078125,418.44627006181616,10.325049291669037,1.9509562484767935,-0.35498649951225264,-0.4355282944692998,-0.454344150623906
central,496129,496129,True,0.6820498448598892,11634771968.0,1.461029052734375,410.1677164491143,11.314593860607573,11.525610640643118,-0.35632989566779033,-0.43391670847290054,-0.28978488125624
central,77613,77613,True,0.616261287245523,15051022336.0,1.4286041259765625,530.8964996596773,17.151744277243402,-0.3277131749169111,-0.33673872179667125,-0.4244102444230627,-0.49350756687743697
central,12185,12185,True,0.6501444509825213,34513887232.0,4.5166015625,1218.7055720554097,35.76682764084033,0.5533050587716589,-0.2251250140370544,-0.3940934617209372,-0.47836553554166356
central,215760,215760,True,0.6355447257667793,35958472704.0,2.593994140625,2950.3011965036726,78.68513230559915,2.9808158363457826,0.055868383319300254,-0.3241961160550249,-0.4366439878410421
central,995106,995106,True,0.6802090174058896,37637316608.0,1.5468597412109375,1412.7339891528322,43.73673857959012,3.652111036781376,-0.19363919637032723,-0.3811135543326159,-0.4251064593633475
central,1011731,1011731,True,0.6443797003773413,20770801664.0,1.926422119140625,733.0309816551055,60.69171508122049,87.15921566392645,-0.3039374984528205,-0.3535004446688272,1.0101273946852525
central,1085,1085,True,0.7154140447221113,15909965824.0,3.238677978515625,561.2511841770144,38.74012019175523,4.594312926926738,-0.3318129378504774,-0.3892511162736849,-0.408912866541239
central,14295,14295,True,0.6245153530793502,22761988096.0,5.9051513671875,803.3986330815078,22.274094724740166,3.4730012514878945,-0.2925186399392499,-0.41606791350744715,-0.4281848133380466
central,1415,1415,True,0.6206592467390807,120564350976.0,4.0435791015625,4259.691057144358,167.9071492537282,7.140051602642459,0.2683486530835664,-0.17888790296630763,-0.36515933985315935
central,503453,503453,True,0.623574460789296,76445917184.0,2.60162353515625,3701.1048239021343,117.49042252300869,5.509048920461131,0.17770448583162318,-0.2609972827092259,-0.39319132917864935
central,9952,9952,True,0.6148557942710099,33420687360.0,2.643585205078125,1180.0723701130796,30.88895399305315,6.386273015355703,-0.23139418826645242,-0.40203763433300194,-0.37811450758123805
central,12172,12172,True,0.6559461671706917,47163772928.0,3.41796875,1848.0474206281938,48.92428035696125,0.8975114027238756,-0.12299903171635998,-0.3726650519138564,-0.4724496724564294
central,423945,423945,True,0.6160925936924683,30882902016.0,1.556396484375,1090.3881539032213,28.467480155386976,0.09138815390322128,-0.2459476280223883,-0.4059812801776919,-0.4863044861565197
central,481813,481813,True,0.6063854464961596,21903044608.0,2.689361572265625,773.0439485641706,21.480130007833566,5.592394904683541,-0.2974444238854439,-0.41736097544681416,-0.3917588644956849
central,9046,9046,True,0.6074931403874908,29711616000.0,5.51605224609375,1048.9954220274212,27.34987639474037,0.31628861309894346,-0.25266460292774345,-0.4078014251481335,-0.48243912937915334
