logMmol dlogMmol logSFR dlogSFR
6.844184169132772 0.310949211938082 -20.0 -20.0
6.801454334339135 0.344276351555051 -20.0 -20.0
6.934297061294246 0.2537094153743372 -3.3813184654231194 0.3546967581252194
6.7271775359025145 0.34517340837836696 -3.2889388841806397 0.343822597771002
6.5055163905189755 0.3897259155362485 -20.0 -20.0
7.164242293939582 0.1386969219128788 -20.0 -20.0
7.354128366722819 0.10448935442063469 -20.0 -20.0
7.312195792502375 0.1265832309547631 -20.0 -20.0
7.0892266157258685 0.17320835357238692 -20.0 -20.0
7.080349570928395 0.22767448079945724 -20.0 -20.0
7.387968009377153 0.12280604291620596 -20.0 -20.0
7.37594640682519 0.1372341167693023 -20.0 -20.0
7.136376795587203 0.20788209651425135 -4.122061549309955 0.5760032688322163
6.771618068418628 0.334737696159403 -2.973489868633781 0.2969555540195578
6.797783412861833 0.25450990805377416 -2.96516529812344 0.30692662123362746
6.46531968855706 0.46701833684173694 -4.587496045802983 0.47107582458231784
6.3034756132091205 0.39428163578716 -4.561856217471491 0.48685950488041707
6.86665963930806 0.3562260070862529 -20.0 -20.0
7.357804333185329 0.14007611432366193 -20.0 -20.0
7.299946761375054 0.1648798048705791 -20.0 -20.0
7.126817396601248 0.23624843510428012 -20.0 -20.0
6.995065371446124 0.2587079497187404 -20.0 -20.0
7.087155414242723 0.2558029977205071 -5.67808842603474 0.5020174627645199
7.215295596556195 0.2068352456822483 -2.623173085910292 0.16555372510129573
7.360867360924283 0.1406667867401059 -1.99054358297962 0.07758767642678721
6.7756098315496125 0.4359096608319587 -2.8634561636608233 0.18060611504592627
6.503307196195198 0.4801733784653204 -20.0 -20.0
6.968017360260093 0.26759256763411304 -20.0 -20.0
6.879405337706352 0.37240324883227055 -3.4374557802926886 0.38312077117314386
6.8180055072071095 0.4277761037666624 -6.0289275337112915 0.43998311857825856
6.948220418294218 0.317097014960121 -3.6018538052936977 0.34473950049235474
7.051099702439679 0.2535613901854229 -2.6885751526672323 0.16930096074833337
7.038979696496047 0.2770853827037998 -3.472924810226833 0.3236683408430864
7.444213038217274 0.12810307606658516 -3.1195601710799767 0.257100253047241
7.280236205533551 0.19766132251096294 -3.172496164396875 0.23152385063007017
7.077172327187283 0.33598879353203265 -3.931624304611029 0.5153771448280122
7.189857827284185 0.25817216978782037 -2.8852849250258776 0.2259247041270961
7.428069824006267 0.15211762865005188 -2.399947566634145 0.12035736501528307
7.670677122856402 0.08891144564406349 -1.8084930463966309 0.06952329479373692
7.28099219782849 0.19775764072057117 -2.759057023167831 0.18559812995365935
6.63062865434161 0.41075299354663514 -20.0 -20.0
7.121727971445078 0.1755054963294531 -2.9251813103117876 0.20152530935310856
7.4477967594912196 0.09819842461412191 -1.9479558238131576 0.06394287666278489
7.080357238552582 0.23408044170464168 -2.8546609621087637 0.21782509262606933
6.868448068028517 0.42725920097148745 -3.0487437839454827 0.2623464956561601
7.613571244926487 0.09316303870432141 -2.3473345347591392 0.14198846591445288
7.6301310583011865 0.0924825241341022 -2.506042600734015 0.12690841205703887
7.737226518205108 0.07596182187839484 -2.5789314373722485 0.17455717725202877
7.547324234949261 0.11756869134779532 -2.671734576000795 0.19064752124183806
7.499309498432967 0.129376176034076 -2.7939727231202673 0.2509888533630784
7.7746205485179685 0.06958492866855949 -2.6900178300021067 0.203008464324134
7.6828208125426505 0.08650623241033985 -2.44845746172043 0.15436245546985636
7.264334418911713 0.21214840585660896 -2.9770941577276897 0.1953909827228718
6.920384154841598 0.25256260923101986 -20.0 -20.0
6.758661612421294 0.33631891088689425 -20.0 -20.0
6.702529673200366 0.3005896742453954 -20.0 -20.0
6.830030426704381 0.2857441048502162 -3.785551582986453 0.36072320549256875
6.935466995449403 0.24088887521228602 -2.5270716559032147 0.1332075461041545
7.231129029607607 0.1538087588597638 -2.2089173535714424 0.09940157114379211
7.0956946452228244 0.23572748334344226 -3.5049718067603353 0.3151086335417512
