matched_index,host_halo_index,track_id,DoR,is_central_flag,gal_stellar_mass,gal_r50_kpc,host_mass,host_radius_kpc,gal_center_x,gal_center_y,gal_center_z,host_center_x,host_center_y,host_center_z,dist_to_host_kpc,dist_over_hostR,dist_over_galR50,bh_mass,v_gal_x,v_gal_y,v_gal_z,v_host_x,v_host_y,v_host_z,v_rel,sigma_host,v_rel_over_sigma
654,482701,66897,0.6679699000879449,True,35919429632.0,6.46209716796875,4142915911680.0,587.890625,691.4226684570312,78169.234375,2336.649658203125,689.39111328125,78163.8984375,2339.13623046875,6.227558676425721,0.010593056619036442,0.9637055145649022,0.0,58.90496826171875,-135.69500732421875,-92.19500732421875,58.90496826171875,-135.69500732421875,-92.19500732421875,0.0,125.87913513183594,0.0
704,526916,765512,0.6583539923286436,True,17920671744.0,2.20489501953125,4027973894144.0,867.1875,2337.031005859375,88775.734375,17724.166015625,2157.100830078125,88753.75,17685.556640625,185.33446721725232,0.2137190252595342,84.05591448823425,0.0,212.1865234375,14.6865234375,-108.01348876953125,212.1865234375,14.6865234375,-108.01348876953125,0.0,59.779911041259766,0.0
729,547161,775921,0.6014065745857468,True,16554172416.0,1.8215179443359375,1386802446336.0,479.00390625,2713.378662109375,93011.75,27998.609375,2708.953857421875,93012.515625,28011.76953125,13.905207322710476,0.02902942364618864,7.63385689718244,0.0,131.054931640625,-284.9450988769531,-287.7450866699219,131.054931640625,-284.9450988769531,-287.7450866699219,0.0,75.14707946777344,0.0
1723,1315808,9394,0.6300940129498068,False,3635866368.0,1.3332366943359375,72123716468736.0,2503.90625,5161.03466796875,12522.5029296875,126082.609375,5141.2705078125,12564.3046875,126099.8671875,49.35424070109843,0.019710898002310764,37.018363588980684,0.0,-18.40625,-812.0062255859375,482.9937744140625,-245.40618896484375,-455.106201171875,393.9937744140625,432.2355835846942,210.27403259277344,2.0555823192004974
2807,2235781,180003,0.6449354800259841,False,1520231424.0,0.9202957153320312,141848643371008.0,2410.15625,3944.668212890625,175250.109375,177537.28125,3641.3857421875,175283.734375,177442.21875,319.6056579083698,0.13260785806246786,347.28582626624535,0.0,854.8270263671875,-140.0728759765625,225.9271240234375,653.6270751953125,-194.3729248046875,131.7271728515625,228.69968617181195,307.39898681640625,0.7439832139342821
2819,2235781,809503,0.6315994382294959,False,41463517184.0,1.5544891357421875,141848643371008.0,2410.15625,3600.489990234375,175508.265625,177539.5625,3641.3857421875,175283.734375,177442.21875,248.11801711773478,0.10294685961448963,159.61386375291158,0.0,1025.4271240234375,-239.6728515625,-205.6728515625,653.6270751953125,-194.3729248046875,131.7271728515625,504.1092502101794,307.39898681640625,1.6399183856492612
2833,2235781,1639847,0.6303525706110041,False,4709544960.0,1.21307373046875,141848643371008.0,2410.15625,3799.7431640625,175314.265625,177274.421875,3641.3857421875,175283.734375,177442.21875,232.73379975677116,0.0965637807742843,191.8546201366007,0.0,689.4271240234375,-784.2728881835938,-195.972900390625,653.6270751953125,-194.3729248046875,131.7271728515625,675.759534371115,307.39898681640625,2.198314123835131
3012,2359176,25311,0.6061328658656949,False,19989944320.0,2.09808349609375,197660568977408.0,2765.625,5082.36865234375,192298.59375,121666.640625,5390.32763671875,192148.703125,121262.8515625,529.4823344690558,0.19145123958203147,252.3647583401021,0.0,-225.5115966796875,129.1883544921875,-75.211669921875,75.58837890625,38.6883544921875,184.8883056640625,408.04833365381785,234.4243927001953,1.7406393974353587
3563,2695320,83700,0.6566717963671045,False,8316129280.0,1.2969970703125,395321137954816.0,4109.375,7061.39990234375,30126.998046875,187200.484375,7106.962890625,29804.173828125,187237.1875,328.08319295177375,0.07983773516697155,252.95600156808757,0.0,-174.2957763671875,-621.395751953125,156.8043212890625,265.3043212890625,-600.395751953125,108.4041748046875,442.754808036111,290.633056640625,1.5234151722238132
3637,2695320,2860534,0.647990293420894,False,22410602496.0,1.8310546875,395321137954816.0,4109.375,6986.88720703125,30330.966796875,187089.296875,7106.962890625,29804.173828125,187237.1875,560.1791130324617,0.13631735069991463,305.93248626412844,0.0,-694.2957763671875,-1215.7957763671875,349.9041748046875,265.3043212890625,-600.395751953125,108.4041748046875,1165.277558125408,290.633056640625,4.009446040290945
