matched_index,host_halo_index,track_id,DoR,is_central_flag,gal_stellar_mass,gal_r50_kpc,host_mass,host_radius_kpc,gal_center_x,gal_center_y,gal_center_z,host_center_x,host_center_y,host_center_z,dist_to_host_kpc,dist_over_hostR,dist_over_galR50
654,482701,66897,0.6679699000879449,True,35919429632.0,6.46209716796875,4142915911680.0,587.890625,691.4226684570312,78169.234375,2336.649658203125,689.39111328125,78163.8984375,2339.13623046875,6.227558676425721,0.010593056619036442,0.9637055145649022
704,526916,765512,0.6583539923286436,True,17920671744.0,2.20489501953125,4027973894144.0,867.1875,2337.031005859375,88775.734375,17724.166015625,2157.100830078125,88753.75,17685.556640625,185.33446721725232,0.2137190252595342,84.05591448823425
729,547161,775921,0.6014065745857468,True,16554172416.0,1.8215179443359375,1386802446336.0,479.00390625,2713.378662109375,93011.75,27998.609375,2708.953857421875,93012.515625,28011.76953125,13.905207322710476,0.02902942364618864,7.63385689718244
1723,1315808,9394,0.6300940129498068,False,3635866368.0,1.3332366943359375,72123716468736.0,2503.90625,5161.03466796875,12522.5029296875,126082.609375,5141.2705078125,12564.3046875,126099.8671875,49.35424070109843,0.019710898002310764,37.018363588980684
2807,2235781,180003,0.6449354800259841,False,1520231424.0,0.9202957153320312,141848643371008.0,2410.15625,3944.668212890625,175250.109375,177537.28125,3641.3857421875,175283.734375,177442.21875,319.6056579083698,0.13260785806246786,347.28582626624535
2819,2235781,809503,0.6315994382294959,False,41463517184.0,1.5544891357421875,141848643371008.0,2410.15625,3600.489990234375,175508.265625,177539.5625,3641.3857421875,175283.734375,177442.21875,248.11801711773478,0.10294685961448963,159.61386375291158
2833,2235781,1639847,0.6303525706110041,False,4709544960.0,1.21307373046875,141848643371008.0,2410.15625,3799.7431640625,175314.265625,177274.421875,3641.3857421875,175283.734375,177442.21875,232.73379975677116,0.0965637807742843,191.8546201366007
3012,2359176,25311,0.6061328658656949,False,19989944320.0,2.09808349609375,197660568977408.0,2765.625,5082.36865234375,192298.59375,121666.640625,5390.32763671875,192148.703125,121262.8515625,529.4823344690558,0.19145123958203147,252.3647583401021
3563,2695320,83700,0.6566717963671045,False,8316129280.0,1.2969970703125,395321137954816.0,4109.375,7061.39990234375,30126.998046875,187200.484375,7106.962890625,29804.173828125,187237.1875,328.08319295177375,0.07983773516697155,252.95600156808757
3637,2695320,2860534,0.647990293420894,False,22410602496.0,1.8310546875,395321137954816.0,4109.375,6986.88720703125,30330.966796875,187089.296875,7106.962890625,29804.173828125,187237.1875,560.1791130324617,0.13631735069991463,305.93248626412844
3927,2857986,13769,0.6254047189121353,True,21278359552.0,2.712249755859375,3223378460672.0,577.1484375,7181.18310546875,45353.02734375,147984.90625,7172.91650390625,45350.76171875,147994.375,12.77211746721163,0.022129692532021506,4.7090491720460275
4816,3607410,7765873,0.6141653144751581,False,12415629312.0,2.25830078125,67246172930048.0,2046.875,9221.869140625,189572.046875,22895.728515625,8814.6728515625,189562.515625,22597.396484375,504.8778698087138,0.2466578905935701,223.56537889043153
5124,3821235,8002,0.6010852373195695,True,18076844032.0,2.101898193359375,1821583736832.0,926.7578125,12075.177734375,15118.6787109375,3572.386474609375,12105.861328125,15123.4951171875,3328.18896484375,246.16479128890995,0.2656193322232284,117.11546832602542
5925,4449184,1874277,0.6267316195050473,False,19794731008.0,1.911163330078125,39939907518464.0,1789.0625,10392.9072265625,112732.53125,171324.140625,10357.8720703125,112571.09375,171047.328125,322.3580132957174,0.18018264498625253,168.67109588301903
5991,4539183,17066,0.6137409075294514,True,78710407168.0,4.1351318359375,7186385207296.0,910.15625,10211.400390625,132619.46875,115365.578125,10246.6435546875,132610.765625,115351.46875,38.947393504476544,0.04279198599633474,9.418658231399906
6063,4609657,172779,0.603381470384433,True,11869029376.0,2.99835205078125,1168162422784.0,463.37890625,10810.0791015625,144796.875,143052.484375,10808.94921875,144799.203125,143065.609375,13.377683887190933,0.02886985943199898,4.461678835780891
6283,4778400,117,0.6275227129805966,False,3987251968.0,0.904083251953125,228684963250176.0,3527.34375,9916.474609375,167885.546875,187246.390625,9966.7412109375,167953.078125,187212.265625,90.83895961648629,0.025752794752846614,100.47632164432144
6284,4778400,137,0.7246507183723369,False,10522050560.0,4.43267822265625,228684963250176.0,3527.34375,9920.4111328125,167745.734375,186834.96875,9966.7412109375,167953.078125,187212.265625,433.0021231909801,0.12275586216709956,97.68408655918786
6285,4778400,552,0.6904961368601793,False,33342603264.0,2.178192138671875,228684963250176.0,3527.34375,9803.375,167611.890625,187478.96875,9966.7412109375,167953.078125,187212.265625,462.84769192153414,0.13121706437642608,212.49167311922704
6286,4778400,553,0.7124777848063014,False,44430774272.0,3.856658935546875,228684963250176.0,3527.34375,9908.576171875,167886.640625,187275.34375,9966.7412109375,167953.078125,187212.265625,108.51710938330312,0.03076454042317342,28.13759557089675
6288,4778400,2202,0.6428003357760255,False,17803544576.0,2.323150634765625,228684963250176.0,3527.34375,9780.99609375,167805.8125,187158.515625,9966.7412109375,167953.078125,187212.265625,243.05858422536477,0.06890697404395724,104.62454762425948
6292,4778400,21185,0.6744277369607915,False,8345411072.0,2.13623046875,228684963250176.0,3527.34375,9887.8876953125,167752.03125,187099.234375,9966.7412109375,167953.078125,187212.265625,243.74943353831665,0.06910282944164901,114.10259197405085
6295,4778400,71883,0.6492821745148009,False,28345116672.0,2.81524658203125,228684963250176.0,3527.34375,9836.259765625,167774.40625,187386.125,9966.7412109375,167953.078125,187212.265625,281.3825310182656,0.07977179173939755,99.94951519139866
6296,4778400,72033,0.6611736134081211,False,41697775616.0,1.6078948974609375,228684963250176.0,3527.34375,10040.1953125,167953.28125,187012.78125,9966.7412109375,167953.078125,187212.265625,212.57836711495437,0.060265849370352516,132.20911855037392
6298,4778400,74170,0.6329071544436423,False,41307344896.0,2.87628173828125,228684963250176.0,3527.34375,9845.13671875,167851.9375,187104.84375,9966.7412109375,167953.078125,187212.265625,191.19764060805247,0.05420442524436482,66.47389164397521
6299,4778400,74285,0.6951509463023098,False,4158064640.0,0.75531005859375,228684963250176.0,3527.34375,9891.189453125,167817.9375,187292.015625,9966.7412109375,167953.078125,187212.265625,174.1583162928181,0.04937378623583769,230.57857407204298
6300,4778400,100031,0.6839624251195557,False,21356443648.0,2.201080322265625,228684963250176.0,3527.34375,9761.119140625,167779.8125,187019.65625,9966.7412109375,167953.078125,187212.265625,330.7563815622156,0.09376925102981971,150.27001887044273
6307,4778400,222292,0.751421832197312,False,1298175104.0,0.499725341796875,228684963250176.0,3527.34375,9904.0810546875,167927.28125,187236.03125,9966.7412109375,167953.078125,187212.265625,71.8093230206264,0.020357903314817672,143.69758148029837
6320,4778400,389228,0.6204523621508219,False,25846372352.0,3.787994384765625,228684963250176.0,3527.34375,9910.5908203125,167455.203125,187078.484375,9966.7412109375,167953.078125,187212.265625,518.5844240274698,0.14701839706648093,136.90211002241395
6323,4778400,798108,0.638630359266431,False,14231122944.0,1.7147064208984375,228684963250176.0,3527.34375,10080.2705078125,167729.578125,187163.328125,9966.7412109375,167953.078125,187212.265625,255.41344944067038,0.07240957149148573,148.9546235599001
