track_id,compactness_z2,compactness_z0,delta_compactness,log10_mstar_z2,log10_mstar_z0,delta_log10_mstar,log10_rhalf_z2,log10_rhalf_z0,delta_log10_rhalf,bh_to_stellar_z2,bh_to_stellar_z0,central_z2,central_z0,halo_index_z2,halo_index_z0,exsitu_fraction,exsitu_group,strip_like
74285,9.351232727919585,9.80170333399219,0.4504706060726047,10.58673792373998,9.618891236456996,-0.9678466872829841,0.8236701305469302,-0.12187473169013034,-0.9455448622370605,0.0029227753898549043,0.0,0.0,0.0,74285.0,74285.0,0.012938487443761438,low,True
682377,9.510241722704185,9.79553309265849,0.2852913699543045,10.235980194867787,9.545180540403315,-0.6907996544644721,0.483825648109068,-0.16690170150344952,-0.6507273496125174,0.0038486750362309446,0.0,0.0,0.0,682377.0,682377.0,0.046299831246767405,low,True
325018,9.533949145374008,9.779248977488912,0.24529983211490425,10.319895421698638,9.463697884562103,-0.8561975371365342,0.5239641842164192,-0.21036739528453982,-0.7343315795009591,0.0016975758969956913,0.0,0.0,0.0,325018.0,325018.0,0.0,low,True
436157,9.56703215390055,9.758909000895741,0.19187684699519103,10.644620086552258,10.427865739555836,-0.2167543469964226,0.7183919551011393,0.44597115910673035,-0.27242079599440894,1.3385198286029855e-06,0.0,1.0,0.0,436157.0,436157.0,0.7425718400904932,high,True
789289,9.592520682954925,9.752426404609274,0.1599057216543489,10.425325984676828,9.789511002869823,-0.6358149818070054,0.5552035344812687,0.02472306550703353,-0.5304804689742352,0.0019044401005643393,0.0,0.0,0.0,789289.0,789289.0,0.013288506113311461,low,True
571874,9.666453655868155,9.741195557934223,0.07474190206606757,9.904881472696502,9.450379468268276,-0.4545020044282264,0.15895187788556384,-0.19387739311063182,-0.35282927099619565,0.004608710581419383,0.0,0.0,0.0,571874.0,571874.0,0.00037047623991655587,low,True
591516,9.371672923220657,9.70055216007026,0.32887923684960185,10.572453538966457,11.062246068535893,0.48979252956943675,0.8005204104971998,0.9077959389770899,0.10727552847989008,8.031991223933587e-07,0.0078125,1.0,0.0,591516.0,591516.0,0.6048157755516226,high,False
3859,9.474084680411261,9.753267573177054,0.27918289276579245,10.211677687503228,10.655999614221122,0.44432192671789394,0.49172867139464393,0.6018213606960463,0.11009268930140237,0.005395683156291885,0.004674030099321158,1.0,1.0,3859.0,3859.0,0.663846007295756,high,False
40638,9.701650443221427,9.882557119199292,0.18090667597786592,10.835075716962034,11.140544875480817,0.30546915851878254,0.7556168491604054,0.838658504187683,0.08304165502727756,0.005092394554320537,0.00634710486405871,1.0,1.0,40638.0,40638.0,0.7382658268391085,high,False
304,9.679000053770952,9.787409248628169,0.10840919485721656,10.682152322620643,11.004505894562577,0.3223535719419335,0.668768179233127,0.8113977639562724,0.14262958472314535,6.239135844602631e-07,0.006834427884108279,1.0,1.0,304.0,304.0,0.590490519874479,high,False
1350,9.76529167627202,9.804483730830531,0.03919205455851227,10.622545887340666,10.878895403383728,0.25634951604306266,0.5715028073790972,0.7162744483687986,0.1447716409897014,0.004975558784986723,0.006780508167335358,1.0,0.0,1350.0,1350.0,0.5551161020918824,high,False
49562,9.722169897290112,9.74516537492705,0.022995477636937878,10.37185895146448,10.581880460504468,0.21002150903998817,0.4331260361162459,0.5578100570516119,0.12468402093536601,0.001736111129989222,0.0028557963874313538,1.0,0.0,49562.0,49562.0,0.4323710756962936,high,False
218313,9.793151351810709,9.783826934984528,-0.009324416826180126,10.256653354426051,9.550583027026786,-0.7060703273992655,0.3090013350768949,-0.15549593863849595,-0.46449727371539085,0.0010219594850835632,0.0,0.0,0.0,218313.0,218313.0,0.0,low,False
29113,9.776950320226232,9.750230231185897,-0.026720089040335182,10.77224083872641,10.897752148686697,0.12551130996028803,0.6635270123334515,0.7650146116672002,0.10148759933374873,0.002494228179409698,0.0,1.0,0.0,29113.0,29113.0,0.5327561250232662,high,False
17910,9.959586825320816,9.890785777518907,-0.06880104780190877,9.889302140050775,9.510619706722743,-0.37868243332803253,-0.04685645684669371,-0.25344404719744346,-0.20658759035074975,3.140158731502016e-05,0.0,0.0,0.0,17910.0,17910.0,0.0,low,False
3173,9.86483314723771,9.78997230998708,-0.07486083725063075,10.89170214462879,11.292591254472466,0.40088910984367665,0.6845793315940524,1.0017459629902563,0.31716663139620394,0.004728206388961539,0.0,1.0,0.0,3173.0,3173.0,0.7520847952103176,high,False
75441,10.485402458691548,10.393497748044982,-0.09190471064656514,10.383933319560532,10.742604886114705,0.35867156655417354,-0.06764609275401064,0.2327380920464825,0.3003841848004931,1.2597729713257616e-06,0.0025048551712131646,1.0,0.0,75441.0,75441.0,0.5037417905164681,high,False
189514,9.882970295722695,9.77163605059181,-0.11133424513088386,10.065028577895463,9.587176817608038,-0.47785176028742526,0.12137218811517832,-0.12297282198918254,-0.24434501010436085,0.0009864102429022858,0.0,0.0,0.0,189514.0,189514.0,0.0011149521486400798,low,False
80976,9.93741129170318,9.811227660676282,-0.12618363102689756,9.916851983705595,9.697051798982098,-0.21980018472349627,-0.013706205331723405,-0.07611724112945528,-0.06241103579773188,0.00014732126520607163,0.0,0.0,0.0,80976.0,80976.0,0.004904024865541053,low,False
1648535,9.960508237091027,9.819088407130996,-0.14141982996003044,10.365328087167601,10.430390728254743,0.06506264108714177,0.2698799000510491,0.40753488074916494,0.13765498069811583,0.0006000762390988838,0.0019191575738350258,1.0,0.0,1648535.0,1648535.0,0.1461016067093307,mid,False
5612,10.312179281185701,10.160859890207323,-0.15131939097837765,10.71342959229838,10.904564742958993,0.19113515066061204,0.2675002074084525,0.49580323516777924,0.22830302775932676,5.992878151206556e-07,0.008861259819143954,1.0,0.0,5612.0,5612.0,0.6171052884799161,high,False
171673,9.990216134748266,9.834762110971518,-0.15545402377674833,10.333480706992704,9.785361638441493,-0.5481190685512107,0.2288430481629583,-0.032933648353349325,-0.26177669651630764,0.002158344653779704,0.0,0.0,0.0,171673.0,171673.0,0.00017403596821736198,low,False
553,9.941789538101897,9.768367031071916,-0.17342250702998108,10.73952693673859,10.647683881530925,-0.091843055207665,0.5318249324244616,0.5862112336393396,0.054386301214877975,0.004645270215127401,0.0,0.0,0.0,553.0,553.0,0.6524647899751719,high,False
107,10.111551398178447,9.93283235502539,-0.1787190431530572,11.149289351846773,10.929200527572574,-0.22008882427419962,0.6918253024455507,0.6642454483647886,-0.027579854080762134,0.00783845529122846,0.0,1.0,0.0,107.0,107.0,0.5520716620448768,high,False
19217,9.988548146013356,9.792180619175749,-0.19636752683760683,10.305871366541332,10.240876490751651,-0.06499487578968122,0.21154881368531858,0.29913058105060064,0.08758176736528206,0.0019210756740717914,0.0,0.0,0.0,19217.0,19217.0,0.0030619670473951244,low,False
3299260,9.997314327777387,9.796280276526954,-0.20103405125043317,10.041790747241782,9.875407960187868,-0.16638278705391407,0.02965094630959705,0.05275178910727707,0.02310084279768002,0.00010962520183964193,0.0,0.0,0.0,3299260.0,3299260.0,0.07452131705406942,low,False
80788,9.956658609790077,9.743317435583462,-0.21334117420661514,9.839514899122761,9.622444798175522,-0.21707010094723955,-0.07809580711154318,-0.08058175827196076,-0.002485951160417582,0.0003313829504547189,0.0,0.0,0.0,80788.0,80788.0,0.0017639471297673872,low,False
4323,9.997148399181905,9.78367330206963,-0.21347509711227453,10.496257172229427,10.497337513168794,0.0010803409393673746,0.3327391820316808,0.4757761407327769,0.14303695870109612,0.0007284694060999814,0.0017032219707984987,1.0,0.0,4323.0,4323.0,0.02134255151224968,low,False
794862,9.973157582127758,9.75573435621584,-0.21742322591191865,10.345124670032586,10.31335221933821,-0.031772450694376175,0.24797805860321936,0.37174524208158016,0.1237671834783608,0.00152770891140802,0.002675818379440139,1.0,1.0,794862.0,794862.0,0.030479968613234616,low,False
83271,10.09868651601031,9.878221875729546,-0.22046464028076507,10.524522437751108,10.471783386399933,-0.05273905135117474,0.28389061449386377,0.3957076737802587,0.1118170592863949,0.0018049883612403636,0.0027431243053058444,1.0,1.0,83271.0,83271.0,0.04897591753413155,low,False
708413,9.97545398543777,9.749880766267072,-0.22557321917069828,10.374014237493883,10.33032217057718,-0.043692066916703354,0.26570683470407547,0.38696093620673866,0.12125410150266319,0.0013842693118303038,0.0027087135132020965,1.0,1.0,708413.0,708413.0,0.07135858868686056,low,False
27683,10.034847360098672,9.792023600288466,-0.24282375981020543,10.087779165149446,10.044094674368607,-0.043684490780838914,0.035287870033849186,0.16804738272009345,0.13275951268624425,0.00012635348422630773,0.0,0.0,0.0,27683.0,27683.0,0.003231398709563326,low,False
3786109,9.994673227464672,9.75117972423237,-0.24349350323230112,9.415992905328308,9.218651340839864,-0.1973415644884433,-0.38578688142424333,-0.35501892226167076,0.030767959162572578,0.0,0.0,0.0,0.0,3786109.0,3786109.0,0.17542843536508618,mid,False
