halo_catalogue_index,is_central,x_galaxy,y_galaxy,z_galaxy,stellar_mass,sfr_instant,rhalf_stars,h1_mass,h2_mass,kappa_co_stars,kappa_co_gas,disc_to_total_stars,stellar_angular_momentum,stellar_age,gas_metallicity_lower,gas_metallicity_upper,dust_mass,descendant_id,track_id,vel_x,vel_y,vel_z,host_halo_x,host_halo_y,host_halo_z,halo_mass_m200crit,sfr_100myr,bh_mass,bh_accretion_rate,bh_thermal_energy_cum,n_agn_events,host_fof_halo_id,snapshot_file,snapshot_label,redshift,snapshot,stellar_mass_raw,rhalf_raw,rhalf,bh_mass_raw,ssfr_instant,log10_ssfr_instant,exsitu_frac,bh_to_stellar_mass,log10_bh_to_stellar_mass,log10_stellar_mass,log10_rhalf,compactness_sigma_1p5,lookback_time_gyr
107.0,1.0,2.7739570140838623,15.01078987121582,13.479667663574219,1415303680.0,21.329360961914062,0.00018840366101358083,5387914752.0,891885312.0,0.26806640625,0.32373046875,0.6015625,0.0011837576748803256,0.07569880783557892,1.582503318786621e-05,1.8775463104248047e-05,4534526.5,-1.0,107,134.537109375,304.73712158203125,319.537109375,24.953384399414062,135.10964965820312,121.34505462646484,139929616384.0,,229362.5,0.00013327033957466483,1.1095077764519679e-12,597.0,43828773.0,GalaxyProperties_SFR_GE_0_z8.0.txt,GalaxyProperties_SFR_GE_0_z8.0,8.0,,1415303680.0,0.00018840366101358083,0.18840366101358083,229362.5,1.5070518972941597e-08,-7.821871791931951,,0.00016205885933964363,-3.790327222224178,9.150849635901217,-0.7249106623576405,10.238215629437677,13.157414292123814
107.0,1.0,3.138114213943481,16.927169799804688,15.203505516052246,1898459008.0,1.0036444664001465,0.000820159912109375,11517643776.0,56886668.0,0.376953125,0.156494140625,0.5400390625,0.0042102597653865806,0.1705264300107956,7.912516593933105e-06,8.791685104370117e-06,3071670.25,-1.0,107,124.51414489746092,201.21414184570312,275.4141540527344,25.090763092041012,135.39707946777344,121.64566040039062,274549391360.0,,306809.59375,9.399492739703419e-09,2.0358591115016145e-12,767.0,39492048.0,GalaxyProperties_SFR_GE_0_z7.0.txt,GalaxyProperties_SFR_GE_0_z7.0,7.0,,1898459008.0,0.000820159912109375,0.820159912109375,306809.59375,5.286627007329865e-10,-9.276821329725921,,0.0001616098069313699,-3.7915322885679372,9.278401224182375,-0.08610146203605619,9.407553417236459,13.033838507389154
107.0,1.0,3.6131651401519775,19.389209747314453,17.431055068969727,8726079488.0,33.26072692871094,0.0005231585237197578,23386673152.0,2369413632.0,0.45947265625,0.175537109375,0.720703125,0.03427925333380699,0.1504644900560379,2.1457672119140625e-05,2.366304397583008e-05,23949020.0,-1.0,107,150.12368774414062,224.523681640625,311.9237060546875,25.289167404174805,135.72705078125,122.01754760742188,728383619072.0,,1627580.125,0.006075257435441017,1.5409035158953088e-11,2024.0,45623108.0,GalaxyProperties_SFR_GE_0_z6.0.txt,GalaxyProperties_SFR_GE_0_z6.0,6.0,,8726079488.0,0.0005231585237197578,0.5231585237197578,1627580.125,3.811646109166286e-09,-8.418887428068032,,0.00018651905786994363,-3.729276786885346,9.940819164763859,-0.28136669441172685,10.36286920638145,12.864739881266583
107.0,1.0,4.262977600097656,22.69124984741211,20.41709899902344,29047887872.0,108.68984222412108,0.0004927317495457828,42478632960.0,6276139520.0,0.58984375,0.25146484375,0.7548828125,0.15420745313167572,0.20948390662670133,2.8848648071289062e-05,3.206729888916016e-05,74044176.0,-1.0,107,217.98843383789065,287.08843994140625,310.58843994140625,25.598440170288082,136.15650939941406,122.49717712402344,1199396618240.0,,16585590.0,0.013168046250939367,2.298537193912153e-10,3316.0,73945793.0,GalaxyProperties_SFR_GE_0_z5.0.txt,GalaxyProperties_SFR_GE_0_z5.0,5.0,,29047887872.0,0.0004927317495457828,0.4927317495457828,16585590.0,3.74174682521031e-09,-8.426925601158255,,0.0005709740437268513,-3.2433836341752045,10.463114559484234,-0.30738945272755547,10.924198738575567,12.622711565305957
107.0,1.0,5.216970443725586,27.353132247924805,24.635107040405277,56299802624.0,63.17086410522461,0.0006729126325808465,42947145728.0,7388861440.0,0.78125,0.2109375,0.875,0.43605175614356995,0.377910852432251,3.546476364135742e-05,3.886222839355469e-05,106319352.0,-1.0,107,277.55303955078125,307.15301513671875,346.15301513671875,26.097957611083984,136.7628173828125,123.17373657226562,1654167830528.0,,43236916.0,0.11731531471014021,8.82638240273792e-10,4177.0,51106677.0,GalaxyProperties_SFR_GE_0_z4.0.txt,GalaxyProperties_SFR_GE_0_z4.0,4.0,,56299802624.0,0.0006729126325808465,0.6729126325808465,43236916.0,1.122044148664485e-09,-8.94999005471608,,0.0007679763335718795,-3.114652163246492,10.750506872303248,-0.17204131861569827,11.008568850226796,12.254924978060174
107.0,1.0,6.780666828155518,34.3981819152832,31.048776626586918,71838859264.0,19.51105499267578,0.001300811767578125,53332545536.0,1676402816.0,0.6923828125,0.328125,0.8193359375,0.6055636405944824,0.8220726847648621,2.6553869247436523e-05,2.7567148208618164e-05,51014988.0,-1.0,107,300.2384948730469,283.0384826660156,474.7384948730469,27.11584663391113,137.5918731689453,124.20225524902344,4192890781696.0,,223276352.0,0.1778085082769394,7.227028309131356e-09,5320.0,48540329.0,GalaxyProperties_SFR_GE_0_z3.0.txt,GalaxyProperties_SFR_GE_0_z3.0,3.0,,71838859264.0,0.001300811767578125,1.300811767578125,223276352.0,2.715947217504495e-10,-9.566078674512775,,0.003108016389562697,-2.5075166996916276,10.856359427511093,0.1142144570408362,10.685037741949838,11.647369057801193
107.0,1.0,9.490453720092772,46.242469787597656,42.14835739135742,141022806016.0,10.76683235168457,0.0049184164963662624,41853947904.0,1532432256.0,0.200927734375,0.206298828125,0.1099853515625,0.5769389271736145,1.5265731811523435,9.036064147949217e-05,9.059906005859376e-05,48021956.0,-1.0,107,321.9144897460937,341.51446533203125,712.7144165039064,28.457786560058597,138.73342895507812,126.43618774414062,9385278439424.0,,1105400960.0,0.3051794469356537,5.960279025885029e-08,6170.0,47466517.0,GalaxyProperties_SFR_GE_0_z2.0.txt,GalaxyProperties_SFR_GE_0_z2.0,2.0,,141022806016.0,0.0049184164963662624,4.918416496366262,1105400960.0,7.634816421439665e-11,-10.117201401058674,,0.00783845529122846,-2.1057695144320996,11.149289351846773,0.6918253024455507,10.111551398178447,10.511840978779919
107.0,0.0,10.499259948730469,50.63635253906249,46.341068267822266,149768404992.0,15.52712059020996,0.004771839827299118,31000031232.0,2235203840.0,0.1630859375,0.298828125,0.1162109375,0.5467565655708313,1.909149527549744,0.00010657310485839844,0.0001066923141479492,53474228.0,-1.0,107,349.4197998046875,431.2198486328125,780.8198242187501,0.0,0.0,0.0,0.0,,1234730496.0,0.3064563274383545,7.979877381103506e-08,6312.0,5524008.0,GalaxyProperties_SFR_GE_0_z1.75.txt,GalaxyProperties_SFR_GE_0_z1.75,1.75,,149768404992.0,0.004771839827299118,4.771839827299118,1234730496.0,1.036742067930773e-10,-9.984329278719743,,0.008244265511580725,-2.0838480299498903,11.175420204652701,0.6786858576119671,10.15739141823475,10.067989902798269
107.0,0.0,11.747251510620115,55.98904037475586,51.45033645629882,158045503488.0,5.853316307067871,0.004779052920639514,13294094336.0,1168845568.0,0.12841796875,0.169921875,0.0709228515625,0.2171620577573776,2.385037422180176,0.00018262863159179688,0.00018262863159179688,28796016.0,-1.0,107,261.60595703125,588.60595703125,793.506103515625,0.0,0.0,0.0,0.0,,1527551872.0,0.04652709513902664,1.2085986611509725e-07,6631.0,9403620.0,GalaxyProperties_SFR_GE_0_z1.5.txt,GalaxyProperties_SFR_GE_0_z1.5,1.5,,158045503488.0,0.004779052920639514,4.779052920639514,1527551872.0,3.703563959674625e-11,-10.431380150784522,,0.00966526625742303,-2.0147861775860916,11.198782144350679,0.6793418396889186,10.1797693848173,9.517953225421422
107.0,0.0,13.00269603729248,62.68561553955078,57.6221809387207,156171436032.0,5.945252895355225,0.00519477017223835,5241503744.0,1050496960.0,0.145263671875,0.16015625,-0.03558349609375,0.39138597249984736,3.0307517051696777,0.0002846717834472656,0.0002846717834472656,25755324.0,-1.0,107,-580.7716064453125,678.62841796875,311.62841796875,0.0,0.0,0.0,0.0,,1639800064.0,0.20526188611984247,1.6083292564417206e-07,6746.0,10621343.0,GalaxyProperties_SFR_GE_0_z1.25.txt,GalaxyProperties_SFR_GE_0_z1.25,1.25,,156171436032.0,0.00519477017223835,5.19477017223835,1639800064.0,3.806875986039486e-11,-10.419431270665532,,0.010499999908203444,-1.9788107047268941,11.193601603753342,0.7155663381999124,10.120252096453473,8.824468705500548
107.0,0.0,14.335738182067873,70.81571197509766,64.5808334350586,152110989312.0,0.2007927447557449,0.00543975830078125,316613184.0,61995792.0,0.153564453125,0.190185546875,0.0941162109375,0.13668881356716156,3.934005260467529,0.0004978179931640625,0.0004978179931640625,2632009.25,-1.0,107,464.97631835937506,-265.723876953125,-555.82373046875,0.0,0.0,0.0,0.0,,1681283200.0,5.017122020944953e-06,2.0902790254240247e-07,6784.0,2596602.0,GalaxyProperties_SFR_GE_0_z1.0.txt,GalaxyProperties_SFR_GE_0_z1.0,1.0,,152110989312.0,0.00543975830078125,5.43975830078125,1681283200.0,1.3200410152082577e-12,-11.879412574550296,,0.01105300286063792,-1.9565197175772768,11.182160590944244,0.7355796035641853,10.078791185597966,7.933125732843223
107.0,0.0,15.475510597229004,74.38832092285155,67.81330871582031,150705438720.0,0.692080557346344,0.005573473870754242,241577696.0,215345776.0,0.178466796875,0.30029296875,0.090576171875,0.11803023517131804,4.359504699707031,0.0005054473876953125,0.0005054473876953125,9253139.0,-1.0,107,1281.6005859375,-325.79931640625,-183.29931640625,0.0,0.0,0.0,0.0,,1681283200.0,8.631398486613762e-06,2.316098743904149e-07,6784.0,36512698.0,GalaxyProperties_SFR_GE_0_z0.9.txt,GalaxyProperties_SFR_GE_0_z0.9,0.9,,150705438720.0,0.005573473870754242,5.573473870754242,1681283200.0,4.5922732664756744e-12,-11.33797227684018,,0.011156088421756994,-1.952488052228777,11.178128925595743,0.7461259694342123,10.058939971444426,7.504248224870964
107.0,0.0,17.04817771911621,78.6321029663086,71.62896728515625,150705438720.0,0.0,0.00578986294567585,0.0,0.0,0.144775390625,0.0,0.104736328125,0.2104472368955612,4.844723701477051,0.0,0.0,0.0,-1.0,107,898.2713623046875,717.5714111328125,181.971435546875,0.0,0.0,0.0,0.0,,1681283200.0,6.819389454904012e-06,2.580591171863489e-07,6784.0,69146377.0,GalaxyProperties_SFR_GE_0_z0.8.txt,GalaxyProperties_SFR_GE_0_z0.8,0.8,,150705438720.0,0.00578986294567585,5.78986294567585,1681283200.0,,,,0.011156088421756994,-1.952488052228777,11.178128925595743,0.762668283478528,10.034126500377951,7.024450261493308
107.0,0.0,18.17932891845703,83.5872573852539,75.86795806884764,146957320192.0,0.019233327358961105,0.0059060491621494285,32217986.0,2228093.0,0.1552734375,0.45361328125,0.01202392578125,0.12707297503948212,5.38966178894043,0.0001499652862548828,0.0001499652862548828,30513.404296875,-1.0,107,-301.774658203125,291.325439453125,-58.07470703125,0.0,0.0,0.0,0.0,,1683723392.0,4.822282335226191e-06,2.8978547561564483e-07,6785.0,17284072.0,GalaxyProperties_SFR_GE_0_z0.7.txt,GalaxyProperties_SFR_GE_0_z0.7,0.7,,146957320192.0,0.0059060491621494285,5.906049162149428,1683723392.0,1.3087696028910115e-13,-12.883136800355212,,0.011457227103761911,-1.9409204782893104,11.167191223888128,0.7712970577258007,10.010245637299427,6.485740113059242
107.0,0.0,18.956567764282223,88.61476898193358,80.45260620117188,141959839744.0,0.0,0.00606536865234375,0.0,0.0,0.162841796875,0.0,0.06048583984375,0.02919000945985317,5.986854553222656,0.0,0.0,0.0,-1.0,107,-92.97778320312499,-203.07763671875,-314.877685546875,0.0,0.0,0.0,0.0,,1693484032.0,1.1203282156202476e-05,3.2714063991079456e-07,6785.0,58337259.0,GalaxyProperties_SFR_GE_0_z0.6.txt,GalaxyProperties_SFR_GE_0_z0.6,0.6,,141959839744.0,0.00606536865234375,6.06536865234375,1693484032.0,,,,0.011929317721504231,-1.923384394406704,11.152165500408326,0.78285720236879,9.977879696855142,5.87866522702614
107.0,0.0,20.558666229248047,94.90960693359376,85.86454772949217,132433379328.0,0.0,0.005320231430232525,0.0,0.0,0.2177734375,0.0,0.14013671875,0.08866472542285918,6.658695697784424,0.0,0.0,0.0,-1.0,107,1149.576904296875,693.976806640625,566.1767578125,0.0,0.0,0.0,0.0,,1695924224.0,6.449193733715219e-06,3.728215460796492e-07,6786.0,66065736.0,GalaxyProperties_SFR_GE_0_z0.5.txt,GalaxyProperties_SFR_GE_0_z0.5,0.5,,132433379328.0,0.005320231430232525,5.320231430232525,1695924224.0,,,,0.012805866863818944,-1.8925910176304939,11.121997461168016,0.7259305245294148,10.033101674373896,5.192030025691046
107.0,0.0,21.71856880187988,102.14517211914062,92.1955108642578,125249495040.0,0.0,0.005498613696545362,0.0,0.0,0.20263671875,0.0,0.126708984375,0.046966467052698135,7.442511081695555,0.0,0.0,0.0,-1.0,107,-684.5093994140625,1161.7906494140625,628.3905029296875,0.0,0.0,0.0,0.0,,1695924224.0,4.271860234439373e-06,4.27983906092777e-07,6786.0,10885456.0,GalaxyProperties_SFR_GE_0_z0.4.txt,GalaxyProperties_SFR_GE_0_z0.4,0.4,,125249495040.0,0.005498613696545362,5.498613696545362,1695924224.0,,,,0.013540367755242328,-1.8683695400893159,11.097775983626839,0.740253209525151,9.987396169339112,4.412555349296579
107.0,0.0,23.97766304016113,110.16755676269533,99.2433624267578,116660068352.0,0.0,0.006279578898102045,0.0,0.0,0.18115234375,0.0,0.09033203125,0.022415462881326675,8.33083438873291,0.0,0.0,0.0,-1.0,107,1167.8280029296875,-538.8719482421875,-234.87194824218753,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4306811.0,GalaxyProperties_SFR_GE_0_z0.3.txt,GalaxyProperties_SFR_GE_0_z0.3,0.3,,116660068352.0,0.006279578898102045,6.279578898102045,0.0,,,,0.0,-inf,11.066922226550432,0.7979305213864942,9.87002644447069,3.524457413691209
