exsitu_group,median_compactness_z2,median_compactness_z0,delta_median_compactness,n_galaxies
low,10.355328108355328,9.887804720768216,-0.46752338758711254,159
mid,10.538580246041638,9.973904492338145,-0.5646757537034937,85
high,10.414249615002365,9.903915133332497,-0.5103344816698687,45
