track_id,halo_index,DoR,is_relic,is_central,density_contrast_300kpc_relic,density_contrast_300kpc_control,density_contrast_1000kpc_relic,density_contrast_1000kpc_control,density_contrast_3000kpc_relic,density_contrast_3000kpc_control
7758881,7758881,0.0793381338266464,False,True,,1016.844541480796,,42.82307347097536,,3.4236699766322105
13282215,13282215,0.101294843275539,False,True,,604.2322537405133,,42.82307347097536,,4.536303808774409
731327,731327,0.2554008334674056,False,True,,1637.2836122514336,,43.233657530788705,,1.7970448461087412
7387848,7387848,0.0715702609762769,False,True,,495.24988776296226,,12.398746969599982,,1.5902318047923623
16321933,16321933,0.0648596319990614,False,True,,345.2090679434273,,8.347644834472538,,-0.3846298505132377
733552,733552,0.4996361609244573,False,True,,1243.933321111174,,37.78656700782085,,5.55313458195198
9756718,9756718,0.0613019008972988,False,True,,391.8433936940221,,9.606771629738597,,2.9791233359037177
2795495,2795495,0.0647553824097669,False,False,,190.60619769700529,,37.78656700782085,,5.55313458195198
1468890,1468890,0.1224956521556238,False,True,,541.3773426565688,,21.50004251684007,,0.9165689010055394
16357697,16357697,0.0617453330795967,False,True,,289.9575653745449,,21.50004251684007,,1.498484031754629
1472766,1472766,0.1059139318047209,False,True,,570.7772350028408,,25.386910597296335,,-0.022707014914950547
2809778,2809778,0.0818189003471951,False,True,,648.3320922599213,,43.945337955757324,,2.2390570793737936
4383120,4383120,0.0628695101979563,False,True,,652.8941426868084,,34.18710834356171,,2.2390570793737936
26169940,26169940,0.0735157013130825,False,False,,648.3320922599213,,43.945337955757324,,2.2390570793737936
60869,60869,0.0884822431758803,False,True,,901.2725618806573,,23.36135917077775,,0.5308219652018438
347374,347374,0.104491304566713,False,False,,1013.2962859463836,,26.38599972055236,,0.014296285946383666
2783085,2783085,0.1089740220570807,False,True,,1013.2962859463836,,26.38599972055236,,0.014296285946383666
9727958,9727958,0.0685529787890117,False,True,,388.8020090165979,,9.524654243448145,,0.49483248582223344
26101772,26101772,0.1037933307247353,False,True,,469.3982775403518,,11.700753493589499,,-0.5296017224596482
2799028,2799028,0.0556342447092128,False,True,,330.5091217702913,,7.950746287797867,,-0.6684908782297087
733485,733485,0.0772675275511135,False,False,,2106.604785897029,,72.00024934716176,,4.904246024957517
9763151,9763151,0.1233088758985185,False,True,,288.9437704820702,,17.64054546266117,,2.5918559204753038
62188,62188,0.0614821388241609,False,True,,399.4468022090841,,17.64054546266117,,2.5918559204753038
158660,158660,0.2296051004892473,False,True,,2048.882238045487,,54.34682042722816,,2.3526016021352287
2805781,2805781,0.0775894323860668,False,False,,2048.882238045487,,54.34682042722816,,2.3526016021352287
32505842,32505842,0.0818482986707324,False,True,,318.34366282834213,,15.53287736776186,,3.627948637074399
16372540,16372540,0.0792715840620384,False,True,,584.9702571404903,,14.82119694279324,,-0.41402974285950966
352434,352434,0.1336061213793614,False,True,,813.0728848418415,,20.97996789072972,,0.14608890405837013
76292,76292,0.2743304314432688,False,True,,348.2504526208515,,8.429762220762992,,2.3513342255733893
159573,159573,0.1867227105611858,False,True,,2225.2814591768733,,65.82265911362397,,1.8241637531254433
5866580,5866580,0.1587309172036069,False,False,,247.6318413277185,,65.82265911362397,,1.8241637531254433
2781634,2781634,0.094391768325166,False,True,,441.5190775327918,,10.948015093385383,,-0.557480922467208
5526667,5526667,0.0905233523576119,False,True,,439.49148774784237,,10.893270169191748,,-0.5595085122521576
50596485,50596485,0.0636185226843539,False,True,,224.31469174704569,,5.083496677170234,,-0.7746853082529543
1468082,1468082,0.1256848857790498,False,True,,337.60565942836524,,8.142352804565862,,-0.6613943405716347
1678114,1678114,0.1042180745730368,False,True,,557.5979545791678,,14.08214477363753,,0.7231885223628296
3145819,3145819,0.1045969144894049,False,True,,197.9561707835733,,11.009602774148359,,1.1211642094924752
7865135,7865135,0.1072696088026896,False,True,,244.84393196266217,,11.009602774148359,,1.6008766644579713
1469536,1469536,0.0950494169463696,False,True,,739.0662299406749,,18.981788208398225,,-0.2599337700593251
4085123,4085123,0.1099809096008124,False,True,,331.0160192165287,,22.58124830847682,,1.4396841672943377
739066,739066,0.0865965296962384,False,True,,1131.3868922905772,,62.10644068812026,,2.2750307514447705
4085729,4085729,0.0855372898232119,False,False,,1131.3868922905772,,62.10644068812026,,2.2750307514447705
9775765,9775765,0.0475969792648755,False,False,,395.89854667467176,,62.10644068812026,,2.2750307514447705
12727885,12727885,0.0524417791472804,False,False,,1131.3868922905772,,62.10644068812026,,2.2750307514447705
1474878,1474878,0.2271776822389179,False,True,,269.681773882047,,6.3084078948152715,,0.4355257770942029
738533,738533,0.0705708824916991,False,True,,266.13349175838556,,6.21260427747641,,0.2864987255778935
728611,728611,0.0879093387941483,False,True,,387.7882407133723,,9.497282499261056,,-0.6112117592866276
6105,6105,0.1740729473846153,False,True,,2423.350669941098,,64.45746808840964,,1.4243506699410982
731341,731341,0.0875462984793061,False,False,,2423.350669941098,,64.45746808840964,,1.4243506699410982
731624,731624,0.0961279386627553,False,False,,2423.350669941098,,64.45746808840964,,1.4243506699410982
7383619,7383619,0.0522479541344432,False,False,,2423.350669941098,,64.45746808840964,,1.4243506699410982
5531139,5531139,0.0875198599462984,False,True,,738.0524882266986,,18.954417182120864,,-0.000910531083740525
356096,356096,0.1635116846088525,False,True,,100.63238624367085,,54.95585070926249,,60.44087982281053
1672105,1672105,0.0887328213791042,False,True,,702.5698265255782,,25.770122195012878,,2.154912568610252
61828,61828,0.1378019984330345,False,False,,649.8528111878826,,45.14972198055894,,53.98931432474725
350019,350019,0.156318123131828,False,True,,208.85439940455362,,41.46814449418989,,41.218244933963746
405136,405136,0.1125551274673101,False,True,,331.522916662766,,47.491764179739484,,29.39732215580056
