subhalo_id,stellar_mass_current,stellar_halfmass_radius_kpc,logsigma
2695584,4.460970961677958,2.285003662109375,10.087438541739086
9599967,8.10005249119422,3.74603271484375,10.023883285916007
41173,5.706137454770214,2.7923583984375,10.066224128239456
1419622,4.186772472792654,2.513885498046875,10.011384675309195
5726,6.135738604534708,2.872467041015625,10.096726503587997
152636,5.123247204319341,2.796173095703125,10.018605565598866
1422719,3.6870610185724217,2.307891845703125,10.012390423793907
712490,27.424045401487092,7.60650634765625,10.017951810595246
6012,23.98179522353894,6.195068359375,10.128730543554727
9695769,1.6201534546344192,1.2264251708984375,10.072421870538209
1447800,6.7040559411398135,3.2806396484375,10.034033668563401
5167556,4.307630880030047,1.85394287109375,10.213061028856854
300461,4.893782734769047,2.23541259765625,10.154576296431902
132519,6.607390834877151,2.8533935546875,10.108802300737395
6890067,11.507996726613783,4.38690185546875,10.04059726334513
1262810,9.785863423807314,3.41033935546875,10.16452052247369
641027,11.855694297752052,4.79888916015625,10.005037656129375
638754,19.00430854125443,4.608154296875,10.189093796255932
15615601,0.0,1.9092559814453125,10.057299769880453
315790,5.408270061510848,2.60162353515625,10.101574722512266
51234,6.353793024405604,2.73895263671875,10.126056565111222
1337997,8.43180723592377,3.543853759765625,10.08455529273846
3875157,9.614855322681251,3.9215087890625,10.067597966281909
316874,10.445521127789107,3.51715087890625,10.179135803021182
1339108,23.546168993096217,7.51495361328125,10.02769748732188
2519970,9.581316502255504,2.685546875,10.317950133185388
2565413,185.67888395311456,13.7939453125,10.045647241476436
7085241,4.923420630962937,2.67791748046875,10.043967442198356
1343832,14.613660723473004,3.9215087890625,10.192723536397889
2539154,18.464462930511218,5.6304931640625,10.020574412694023
