track_id,HaloCatalogueIndex,DoR,logM,compactness,exsitu,is_central
765512,765512,0.6583539923286436,10.253355,9.738274,0.225296488365099,True
17066,17066,0.6137409075294514,10.896032,9.971298,0.5386319723018472,True
100031,100031,0.6839624251195557,10.32953,9.815576,0.04044142656607836,False
496129,496129,0.6820498448598892,10.065759,9.81877,0.04463811900099312,True
100221,100221,0.7144579189526166,10.163251,9.968476,0.002196212192828496,False
2226,2226,0.664697544972055,10.691913,10.395798,0.19358256671669768,False
1782066,1782066,0.7404743771822154,10.2659445,9.885608,0.002448264461147175,False
995106,995106,0.6802090174058896,10.57562,10.291443,0.18597565376042358,True
9581,9581,0.6915810848661282,9.937406,9.748183,0.002816164237836017,False
415368,415368,0.6877238228986977,10.413056,9.899102,0.0562165312167714,False
884010,884010,0.6028653478303433,10.69329,10.210556,0.14854591435998843,False
503453,503453,0.623574460789296,10.883354,10.260488,0.4591712642779405,True
12172,12172,0.6559461671706917,10.67361,9.872957,0.4290068812745528,True
423945,423945,0.6160925936924683,10.489719,10.201539,0.12170630518049781,True
7598,7598,0.7014676441642759,9.52793,9.724037,0.0006176595065849973,False
83271,83271,0.684790105962043,10.467182,9.881663,0.04897591753413155,True
471061,471061,0.6833864921403746,10.268236,9.991329,0.04494714416055884,False
1896059,1896059,0.6838720708795906,10.020487,9.76926,0.001096889365869851,False
104782,104782,0.6943957712516015,10.840495,10.375774,0.10585722112502176,False
15531,15531,0.66689122433132,10.903719,9.977784,0.38874800203120186,True
15398,15398,0.6415685020249383,10.867084,9.990996,0.45714728755401474,False
460550,460550,0.6869908876345444,10.314998,10.07142,0.026894324854095753,False
18005,18005,0.7227492410942181,9.744595,9.861738,0.0003638208047919526,False
18413,18413,0.6218062366987339,10.761804,9.832279,0.4008574703544244,False
458677,458677,0.686697642801295,10.289207,9.887733,0.11874192280317697,False
1870301,1870301,0.6936497593756278,9.919922,9.753394,0.0007592361025168506,False
107,107,0.6579168815021977,10.929201,9.932833,0.5520716620448768,False
218204,218204,0.6999881300551886,10.11268,9.905132,0.013236099646595986,False
103252,103252,0.6399017231499968,10.333482,10.017178,0.06320639470704505,True
18408,18408,0.7739284345876163,10.279072,10.05546,0.07843209095293555,False
18028,18028,0.7003127085380463,10.785223,9.97878,0.13728761482129712,False
1172843,1172843,0.6280945210452531,10.9517565,9.760487,0.7490201964379777,False
1027827,1027827,0.6526772959494253,10.32953,9.9869995,0.0014176030105718445,False
7997,7997,0.7331995762812181,10.456054,9.801494,0.2415915918750533,True
21069,21069,0.6777893009987741,10.304193,9.954359,0.05798396031096086,False
1317,1317,0.7586374718540401,10.36313,9.995388,0.0013088366174763904,False
1350,1350,0.621941451538026,10.866623,9.828548,0.5551161020918824,False
14823,14823,0.6807473739389485,10.029293,9.826279,0.006606018624501217,False
19217,19217,0.6954969942631268,10.240877,9.792181,0.0030619670473951244,False
284458,284458,0.7116675477635107,10.357211,10.029537,0.0033776502975812295,False
1950115,1950115,0.6103629922430767,10.860587,10.1297035,0.37817940419057805,False
602429,602429,0.6932706303643063,10.622547,9.903916,0.41837584936893446,False
2348093,2348093,0.6708237911462418,10.481404,10.056215,0.3746448573902117,False
2299855,2299855,0.6596370304335647,10.336617,10.127265,0.006122598234074229,False
3471263,3471263,0.6077150067294418,10.38603,9.980543,0.15718637266979157,True
29125,29125,0.6857704775717242,10.600993,10.118259,0.23372983126068578,False
245505,245505,0.6102369265141454,11.276387,9.97789,0.6480011016664744,False
112514,112514,0.6804460923564565,9.708814,9.820035,0.0002115120941523818,False
112637,112637,0.6969642700465215,10.138085,9.977357,0.0017397247757618352,False
258026,258026,0.6757229738568599,10.466604,9.913223,0.01847298945572845,False
586019,586019,0.6714912439164086,10.0285,9.837421,0.022170332421567185,False
40638,40638,0.6469504784134035,11.116327,9.907726,0.7382658268391085,True
42536,42536,0.6195340219782417,10.138701,9.751471,0.09505005675459811,True
48750,48750,0.6918444995272178,10.470064,10.056624,0.1548847747357771,False
49188,49188,0.6378597937533205,10.232024,9.907363,0.013299809828137466,False
3859,3859,0.6047750707089494,10.632936,9.78126,0.663846007295756,True
133204,133204,0.6104780507118654,10.598436,10.073289,0.29186217057217306,True
48958,48958,0.6722382549742901,10.381827,10.2632065,0.0635617574068026,False
145106,145106,0.6462121186005444,10.882466,9.842375,0.46633463270504993,True
3586,3586,0.65087904992931,10.863848,10.272287,0.19411174795554692,False
150956,150956,0.6112348731793519,10.7314205,9.991695,0.3936821841072326,True
328522,328522,0.6718535456827563,10.912104,10.030214,0.5508029526906838,True
38324,38324,0.6930907738966435,10.451282,9.900029,0.005445398274375924,False
1382810,1382810,0.6914281742535744,10.2659445,9.87666,0.011372141718950058,False
59531,59531,0.7344147424352562,10.565594,10.168158,0.08195108959240652,True
319646,319646,0.6831502780138443,10.365329,9.816213,0.1951456213937232,False
3913617,3913617,0.6349442877756575,10.635298,9.865921,0.4761298904439379,True
1277093,1277093,0.6865494011773712,9.979377,9.876479,0.08130880937381554,False
49412,49412,0.7398155574074718,9.451131,9.727545,0.0015126298609981729,False
2604197,2604197,0.6674939213376935,10.67719,10.1885605,0.28603537171757504,False
1406104,1406104,0.6661149855419845,10.48917,10.085687,0.08078707756529256,False
2687587,2687587,0.6543468626512038,10.518399,10.04281,0.24546741742248937,True
53810,53810,0.646345198594246,10.899466,10.014375,0.5074586949946592,False
146543,146543,0.6374250543638406,10.487517,10.118364,0.1024763037149746,True
429,429,0.679367329402015,10.220442,9.910283,0.05781002208601125,True
682784,682784,0.691543936038801,10.53355,10.423267,0.05342107021792213,False
684934,684934,0.6681414031623797,10.567893,9.826572,0.2589065723398106,False
5612,5612,0.6969484753478227,10.902872,10.161552,0.6171052884799161,False
2679391,2679391,0.6949853270504308,10.573813,10.252937,0.03291261055975005,False
69297,69297,0.605413483466434,11.011827,10.21336,0.4619345592707178,False
6818,6818,0.6470608066618607,10.631353,10.039793,0.16156223101729558,True
1451575,1451575,0.6649807873984348,11.005846,10.271733,0.32326423872023,True
171673,171673,0.734682944021175,9.785362,9.834763,0.00017403596821736198,False
6334,6334,0.7161295565286975,10.26915,9.906373,0.028240539086468158,True
4107179,4107179,0.6215625423296004,10.850657,9.902318,0.41147732435567796,False
72262,72262,0.6794855734606449,10.369694,9.876386,0.17252639447066548,False
61127,61127,0.6699223508183056,10.638428,10.427276,0.12701975933023715,True
750387,750387,0.6231832383440952,10.45546,9.989522,0.06737534848765556,True
168374,168374,0.6483397759946641,10.690533,10.2307005,0.5655616789755166,True
6301,6301,0.6267726950901156,10.918696,10.135732,0.39430236147721026,True
64105,64105,0.7043249407385668,10.37186,9.901079,0.08553765521272694,False
