bin_lo,bin_hi,bin_center,count,DoR_median,DoR_p16,DoR_p84,compactness_median,compactness_p16,compactness_p84,MgFe_median,MgFe_p16,MgFe_p84,lum_age_gyr_median,lum_age_gyr_p16,lum_age_gyr_p84,log_ssfr_median,log_ssfr_p16,log_ssfr_p84,exsitu_frac_median,exsitu_frac_p16,exsitu_frac_p84,BH_log10_ratio_median,BH_log10_ratio_p16,BH_log10_ratio_p84,n_extreme,n_extreme_central,n_extreme_satellite,frac_extreme
9.0,9.2,9.1,19753,0.1057382474623403,0.07159605832348176,0.18883713490280465,8.348278999328613,8.094575881958008,8.610719680786133,0.11113881319761276,0.07828592509031296,0.15359845757484436,3.6690008640289307,2.254401445388794,6.890108108520508,-9.990376472473145,-10.396931648254395,-9.675622940063477,0.050560566539526786,0.018958869879544944,0.11777279853843962,-3.7842016220092773,-4.1059088706970215,-3.4895877838134766,26,23,3,0.001316255758618944
9.2,9.399999999999999,9.299999999999999,17907,0.1002994221173614,0.0673996534823769,0.18075465953924466,8.558028221130371,8.300009727478027,8.83353042602539,0.10424184054136276,0.07462651282548904,0.14266307651996613,3.5980844497680664,2.2245419025421143,6.628835678100586,-9.983171463012695,-10.355470657348633,-9.683440208435059,0.0409609445122905,0.014515625478535634,0.10270174433672606,-3.831571102142334,-4.158882141113281,-3.548710346221924,20,17,3,0.0011168816663874462
9.399999999999999,9.599999999999998,9.499999999999998,16213,0.0986212427704964,0.06471626990323395,0.17860591888100136,8.777120590209961,8.506599426269531,9.051756858825684,0.09743160754442215,0.071085125207901,0.1314866542816162,3.545830249786377,2.2133445739746094,6.763204574584961,-9.97225284576416,-10.345186233520508,-9.677807807922363,0.03260992676958308,0.010711585423807108,0.09174104000670749,-3.8466925621032715,-4.171278476715088,-3.5588455200195312,29,25,4,0.001788688089804478
9.599999999999998,9.799999999999997,9.699999999999998,15266,0.0973724283694157,0.06278583038975666,0.1782326869564339,8.982322692871094,8.702086448669434,9.26952075958252,0.09272006899118423,0.06934050470590591,0.1221671849489212,3.4823784828186035,2.1909499168395996,6.897572994232178,-9.959712982177734,-10.366225242614746,-9.673750877380371,0.028946905547676056,0.009950291416455039,0.0904505460761006,-3.8211796283721924,-4.126272201538086,-3.498899221420288,31,25,6,0.0020306563605397617
9.799999999999997,9.999999999999996,9.899999999999997,14290,0.09803037472599574,0.06264178720283,0.18545332783258797,9.176582336425781,8.894144058227539,9.467801094055176,0.09071984887123108,0.07012058794498444,0.11762478202581406,3.4749135971069336,2.1984145641326904,7.158844470977783,-9.964834213256836,-10.432272911071777,-9.687790870666504,0.0285043793817533,0.010239257580002529,0.09661614292385025,-3.764036178588867,-4.019776821136475,-3.372992992401123,30,28,2,0.002099370188943317
9.999999999999996,10.199999999999996,10.099999999999996,13698,0.1054466863530613,0.06723024941942775,0.20700329907019116,9.363717079162598,9.089775085449219,9.639521598815918,0.09147118777036667,0.07272463291883469,0.1167091354727745,3.8052356243133545,2.3999671936035156,7.584343910217285,-10.033285140991211,-10.681550025939941,-9.748804092407227,0.03412551116468812,0.012084709383037002,0.11696387704328823,-3.617906332015991,-3.914792537689209,-3.2189218997955322,67,52,15,0.004891224996349832
10.199999999999996,10.399999999999995,10.299999999999995,12105,0.1247916532966235,0.07712686081467626,0.25524898870842144,9.538164138793945,9.286160469055176,9.763154983520508,0.09422805160284042,0.07609126716852188,0.1273677498102188,4.575987339019775,2.814269542694092,8.31590461730957,-10.194223403930664,-11.230948448181152,-9.854509353637695,0.059063871262425356,0.018355025831893496,0.1788508036410504,-3.397292375564575,-3.784528970718384,-3.0638930797576904,100,84,16,0.008261049153242462
10.399999999999995,10.599999999999994,10.499999999999995,9162,0.15899982394829715,0.09641801526862696,0.3088007005435301,9.64657211303711,9.443440437316895,9.865402221679688,0.09818677604198456,0.07913974672555923,0.15046250820159912,5.725582122802734,3.5831546783447266,8.853378295898438,-10.464343070983887,-11.869668006896973,-10.043210983276367,0.12767755734768144,0.03975331253344234,0.29400080808295037,-3.172149658203125,-3.6024882793426514,-2.877655506134033,90,72,18,0.009823182711198428
10.599999999999994,10.799999999999994,10.699999999999994,5811,0.2096505025843046,0.12678601164026737,0.3515959640596365,9.72441291809082,9.535453796386719,9.934969902038574,0.11116548627614975,0.08496829867362976,0.1737857460975647,6.912502288818359,4.687960624694824,9.18183422088623,-10.758291244506836,-12.174595832824707,-10.264248847961426,0.26619739954245825,0.1112809422596404,0.4482049275993535,-2.9560396671295166,-3.273664712905884,-2.6829776763916016,56,41,15,0.009636895542935812
10.799999999999994,10.999999999999993,10.899999999999993,2995,0.2663345924889018,0.17610550033336098,0.3936569078825546,9.813430786132812,9.628732681274414,10.003047943115234,0.14035746455192566,0.09905488044023514,0.1953807920217514,7.912799835205078,5.979389667510986,9.629727363586426,-11.188161849975586,-12.43840503692627,-10.472482681274414,0.45511797942772486,0.27796874865718757,0.6012867295988366,-2.7607314586639404,-2.975456714630127,-2.490560293197632,29,27,2,0.009682804674457429
10.999999999999993,11.199999999999992,11.099999999999993,1557,0.3320158537839545,0.2375487974242826,0.4377921959799615,9.850936889648438,9.697831153869629,10.019335746765137,0.16806954145431519,0.12688490748405457,0.2148643285036087,8.689149856567383,7.016413688659668,9.853675842285156,-11.501691818237305,-12.34851360321045,-10.62264347076416,0.6071375157865717,0.46535236896695464,0.7123956494220559,-2.534217596054077,-2.7478573322296143,-2.2980072498321533,9,8,1,0.005780346820809248
11.199999999999992,11.399999999999991,11.299999999999992,704,0.36590638848408263,0.2899737541337272,0.4509605337060468,9.86231803894043,9.714838027954102,9.99963092803955,0.19161729514598846,0.15384522080421448,0.228763148188591,9.040000915527344,7.673325538635254,9.861438751220703,-11.489269256591797,-12.106678009033203,-10.646949768066406,0.6924957044175404,0.5907834011785099,0.766195661945187,-2.3570876121520996,-2.5564956665039062,-2.148522138595581,3,2,1,0.004261363636363636
11.399999999999991,11.59999999999999,11.499999999999991,285,0.4025208177524915,0.3329489712356196,0.4844234995337986,9.880678176879883,9.780016899108887,10.007267951965332,0.2181629240512848,0.18793319165706635,0.24932081997394562,9.24155330657959,7.631522178649902,9.87696647644043,-11.30339527130127,-11.80252742767334,-10.571974754333496,0.7060593212950801,0.6211012364082151,0.7722003639521073,-2.1457934379577637,-2.295681953430176,-1.9669359922409058,0,0,0,0.0
