halo_idx,track_id,logM,logR,compactness,DoR_matched,DoR_matched_flag
4981915,4981915,9.736894,0.54619104,8.917607,,0
178183,178183,10.055435,0.45940706,9.366324,,0
1489525,1489525,9.001264,0.34638306,8.481689,,0
6280,6280,10.304193,0.46851447,9.60142,,0
3358048,3358048,9.337299,0.289881,8.902478,,0
5652880,5652880,9.126994,0.605124,8.219308,,0
43071,43071,9.985118,0.5274208,9.193987,,0
77064,77064,9.334365,0.35231212,8.805897,,0
264938,264938,10.684964,0.5628256,9.840726,,0
784652,784652,9.804396,0.3218228,9.321661,,0
1091536,1091536,9.225641,0.5357026,8.422088,,0
2500104,2500104,10.383233,0.4429945,9.718741,,0
43078,43078,10.863383,0.5093435,10.099368,,0
387771,387771,9.123818,0.6108439,8.207553,,0
555509,555509,9.717023,0.47299755,9.007526,,0
557528,557528,9.639303,0.5194792,8.860085,,0
785413,785413,9.34407,0.5775338,8.47777,,0
2019537,2019537,9.202335,0.49791405,8.455464,,0
2031203,2031203,9.688018,0.5259428,8.899103,,0
3362084,3362084,9.54879,0.37941974,8.97966,,0
4996368,4996368,9.256066,0.6406447,8.295099,,0
180816,180816,9.089421,0.2631535,8.694691,,0
266954,266954,9.3299265,0.4302648,8.684529,,0
388730,388730,9.981152,0.3675013,9.429899,,0
789790,789790,10.249076,0.63988614,9.289247,,0
789886,789886,9.792255,0.50418556,9.035977,,0
1096960,1096960,9.75291,0.53954595,8.943591,,0
1506046,1506046,9.032352,0.43939537,8.37326,,0
1506237,1506237,9.762537,0.48617566,9.033274,,0
1506436,1506436,10.294404,0.6196827,9.36488,,0
2032033,2032033,10.833088,0.6267831,9.892914,,0
2506294,2506294,9.120619,0.6555448,8.137301,,0
2509131,2509131,9.173463,0.54947585,8.349249,,0
2916161,2916161,10.079388,0.55458796,9.247506,,0
2916331,2916331,9.814259,0.4735547,9.103927,,0
5001367,5001367,9.579989,0.7105052,8.514232,,0
8679499,8679499,9.281183,0.6734786,8.270966,,0
2282,2282,10.234995,0.3311964,9.7382,,0
17199,17199,9.96903,0.46398464,9.273053,,0
17233,17233,9.590455,0.4234449,8.955288,,0
17283,17283,11.2813835,1.0816966,9.658838,,0
43620,43620,10.902448,0.6228528,9.968168,,0
43632,43632,9.116587,0.8129297,7.897192,,0
43652,43652,10.157391,0.44179812,9.494694,,0
77480,77480,9.849221,0.3910198,9.2626915,,0
119644,119644,10.930795,0.62521523,9.992971,,0
180814,180814,10.612732,0.3660774,10.063616,,0
180926,180926,9.608053,0.4845501,8.881228,,0
180942,180942,10.037924,0.3500982,9.512776,,0
180951,180951,9.743831,0.5103678,8.978279,,0
266356,266356,9.0153,0.47632974,8.300805,,0
267007,267007,9.610139,0.5582684,8.772737,,0
267023,267023,9.804396,0.48237318,9.080836,,0
267131,267131,10.33973,0.6156874,9.416199,,0
388579,388579,9.85695,0.6459181,8.888073,,0
388830,388830,9.5033655,0.4622737,8.809955,,0
388869,388869,10.128732,0.6337692,9.178078,,0
558636,558636,9.3540325,0.4801853,8.633755,,0
558915,558915,9.443564,0.46170187,8.751012,,0
