subhalo_id,stellar_mass_current,stellar_halfmass_radius_kpc,compactness,DoR_choice
7,63.96801020450948,10.8184814453125,0.25471338487989037,0.22836243849969248
9,5.138086431012198,1.6918182373046875,0.3682708522107072,0.1592110405775057
91,14.96098506036651,5.57708740234375,0.05534901325829322,0.4902076477053641
126,94.17178998966848,11.2152099609375,0.399209712749111,0.35312053133179266
143,133.32824763466488,10.55908203125,0.5894829253612706,0.24418071905268765
272,5.0051154009925085,2.3040771484375,0.15566857028495262,0.2675902794583418
308,3.842599846917437,2.00653076171875,0.13095642781385752,0.2796057253097967
362,14.818435945249805,3.80706787109375,0.29991643818944846,0.36406488884439353
391,5.1197346831686446,1.590728759765625,0.40685325585257043,0.32964461907904175
433,12.448079740941466,4.5013427734375,0.11508923366243473,0.40626314358352905
450,8.923325440759072,3.101348876953125,0.21320079687557303,0.22113284071454165
454,10.373438366975,4.5928955078125,0.022792883504602957,0.33996166517292864
468,5.730763034705888,2.86102294921875,0.07343043872531152,0.21421971287358973
492,8.666671702107124,3.002166748046875,0.22170012997043975,0.32250482616095855
552,3.339682475561858,2.178192138671875,0.016560898248544897,0.6881703774832695
710,8.226847641925,3.612518310546875,0.0785183688353831,0.22775239201822936
759,12.2149222058125,3.91387939453125,0.1979795471547956,0.232697992808254
782,3.1243176962962025,2.03704833984375,0.03125318607685784,0.5601548951420224
861,56.93747308688762,9.9334716796875,0.25974660211877176,0.25935323398656135
867,102.6589538659682,13.2598876953125,0.3275870655828488,0.2445079353872326
937,0.0001306449994444,1.5163421630859375,-4.155103025194148,1.0
978,8.52326271345625,2.63214111328125,0.30014212177669974,0.4872588555027173
1049,5.662056638437207,2.559661865234375,0.1407003120403746,0.10322452249183715
1056,2.604377727075189,1.77764892578125,0.04093498044904992,0.2671793904286084
1192,3.0693120016148896,1.979827880859375,0.04209988372071333,0.24941328649005545
1254,127.06027269528568,12.908935546875,0.4376741344550439,0.2517489964084587
1368,7.1864511120875,3.345489501953125,0.06982496838846664,0.2526738072859201
1408,4.468693808368698,1.5888214111328125,0.348567972452825,0.3178144868998654
1415,13.134752938225574,4.0435791015625,0.20827299324687298,0.3951193758495984
1432,5.98079048399375,2.826690673828125,0.099841159653979,0.1357347721657938
1484,6.336245841201162,2.422332763671875,0.2254813141716313,0.24545348668113498
1536,5.186927333714266,2.559661865234375,0.1026362664593814,0.4889496959859761
1685,13.3867008020875,3.77655029296875,0.2610306478791953,0.6287123009112129
1782,3.8888503023875,1.8310546875,0.19576925257820765,0.37476226636546633
1810,91.1254401393744,12.8173828125,0.29794060583284443,0.26053057969698207
1819,3.077528751186037,2.00653076171875,0.03453338562700209,0.2900155470326374
1874,10.77957034854375,3.025054931640625,0.3115015530638481,0.44409586059082734
1918,6.445058287143183,3.265380859375,0.03832608524589887,0.2775390466789829
1959,4.353684554349456,2.0751953125,0.16326849247476133,0.29713829703430733
2003,201.1175811032153,12.237548828125,0.6719083805027206,0.2720984708815289
2167,3.963641588154133,2.44140625,0.01663429851053544,0.4120222680308065
2208,16.800805971288355,6.3323974609375,0.022977867146078745,0.5170637581270123
2226,4.945794930375996,1.575469970703125,0.3981209105024465,0.6175511524850034
2494,4.050103113804653,1.495361328125,0.3453468626945125,0.5256090790552842
2495,9.124549363303233,3.24249267578125,0.19389291938994224,0.37814166853228054
2571,35.24661983236729,6.683349609375,0.30962620445606737,0.24893754296299217
2619,7.634276199140004,3.08990478515625,0.1478502227707411,0.22193113287693067
2622,6.169527565485623,2.76947021484375,0.1266568608768548,0.22422313624779253
2689,2.7707427120330976,1.7547607421875,0.0762693349758542,0.46403776305197825
2870,157.5520727912226,13.85498046875,0.4850152443793849,0.20706561119545194
2993,8.933583296464349,3.246307373046875,0.18394123391082662,0.16863235063977597
3024,12.08026144687028,4.150390625,0.15494287348263902,0.15326704340662173
3396,19.736445280919725,6.53076171875,0.07282317727935239,0.18182116299562132
3406,11.647926272380571,4.0435791015625,0.156099698063892,0.3421428605970671
3464,2.63977554641875,1.80816650390625,0.035709371871097295,0.4626813294299697
3527,3.650616384475143,2.2430419921875,0.036110092454935905,0.1109022015106363
3586,7.807395869822358,2.47955322265625,0.3009460485550861,0.45008325220300255
3878,8.81336216107593,4.058837890625,0.0325390576247635,0.16422104748908817
3931,16.767171437757497,5.77545166015625,0.08208087503057304,0.28944286794261637
3979,7.8264783088,3.27301025390625,0.12114533708107189,0.5575529702805865
3999,49.9693311959054,9.46044921875,0.23483589844571284,0.2311897786827353
4201,2.740578463883139,1.8978118896484373,0.02046249591986754,0.2182948652320679
4261,12.258342218294274,4.79888916015625,0.06672066272433375,0.2840159276856284
4357,110.23888622086088,12.359619140625,0.40432718438560844,0.2184280998895878
4716,22.81215586594772,7.1563720703125,0.07612696213921111,0.2706372690625785
4730,4.533888419580762,1.6651153564453125,0.3243043386634045,0.3080789496240829
4917,6.343072292649595,2.288818359375,0.26288266847673114,0.47529881692664766
4944,226.5762441984116,10.1776123046875,0.8437455185740825,0.19505473169716314
5029,6.5593116313029896,3.154754638671875,0.0684098832162503,0.26962325347279587
5206,12.478193496572205,4.41741943359375,0.12839875969489822,0.21162714232515364
5497,9.155417223388213,3.360748291015625,0.17202416072064286,0.2978072015681243
5533,3.912710453514592,1.7757415771484375,0.21840806559336723,0.155575044341878
5560,4.73390196631226,2.521514892578125,0.07272695364391935,0.1748470174416298
5592,8.816420790979464,3.849029541015625,0.06726544362330944,0.2155598223425994
5612,8.02699653874375,3.12042236328125,0.16323300312871025,0.6406952153825964
5638,17.70635435202712,4.8828125,0.21512407983314308,0.22808340463665103
5649,9.745355646286043,3.2958984375,0.21183696206260438,0.3471823683995579
5726,6.135738604534708,2.872467041015625,0.10048426809632816,0.21081104364136194
5756,14.31488129380159,5.2642822265625,0.07377900430982232,0.34002498689287514
5987,6.499694861973694,3.177642822265625,0.05973534932606417,0.10976656033546027
6012,23.98179522353894,6.195068359375,0.1918125358627949,0.19966690964612108
6041,7.390999860268494,2.38800048828125,0.30165157717977387,0.13900218079386248
6203,18.55346511875541,5.06591796875,0.21143780246624622,0.189384775307711
6301,9.342352458603273,3.326416015625,0.1874914034021583,0.42049462901002577
6700,11.650634576260927,4.08172607421875,0.1500837971662612,0.223850414459706
6787,3.157522805391636,2.00653076171875,0.04567776265266954,0.1937278794572748
6808,48.908101359789725,9.124755859375,0.24904892354355934,0.23512525371490214
6818,4.619765346098575,2.47955322265625,0.07305976475685483,0.421879047505914
6905,5.01224655895,2.460479736328125,0.11350273733455685,0.34698368553082193
6992,96.81034873227328,10.284423828125,0.4676518356836663,0.2449099741696336
7096,5.3681230019865325,2.567291259765625,0.11560974503264199,0.2754659673374558
7166,10.93774741008383,4.38690185546875,0.0756910122097465,0.44305338364471686
7176,4.494075949020044,2.353668212890625,0.09502254451605718,0.24636928688856607
7182,17.126283940924623,5.3863525390625,0.13672097787558868,0.24226821629927028
7231,70.3458717011381,9.4757080078125,0.3823211113003897,0.25165592356854266
7398,0.0004295742692193,14.6026611328125,-5.113609750772715,0.7108216083615083
7510,15.407722729338277,5.4779052734375,0.07981667754467026,0.3487066227878051
7560,13.27688600159375,3.353118896484375,0.33492279663580216,0.2385878021107312
7778,6.7353306559161865,2.89154052734375,0.13666499577298818,0.2131757594493995
8623,29.37469104651973,5.18035888671875,0.39643353554597316,0.27996092915874266
8699,5.007992172832019,2.64739990234375,0.06543431867391702,0.21810972527993822
8815,9.27224436821416,4.31060791015625,0.01537708655614023,0.11863116294896653
8903,9.378480699975626,4.0283203125,0.06444649464320551,0.32742778575545534
8961,3.693106233142316,2.23541259765625,0.04335525932250561,0.2854364776185578
9128,5.448123736998241,3.0517578125,0.009421865089770054,0.3825040698401727
9133,5.08769383108125,2.727508544921875,0.052871788535894026,0.31629878001561434
9746,40.34362599298038,9.4146728515625,0.14506707891298487,0.23685439638368175
9823,44.188604324714106,8.2244873046875,0.2726470329572155,0.2837522031674602
10442,7.701130124049087,2.582550048828125,0.2684813415169617,0.1468212129168926
10501,11.070581453750492,3.5400390625,0.22065835027500125,0.2467126228229328
10850,4.524390451522777,2.658843994140625,0.018520792941203346,0.18919519910901272
10967,410.6911229070187,19.775390625,0.6693277093089542,0.25621178495083213
11028,5.89073499033125,2.67791748046875,0.12847370006840275,0.5392720422861509
11450,8.974044436125,3.95965576171875,0.05650206832570259,0.10595440173379868
