HaloCatalogueIndex,DoR,logM,logR,compactness,exsitu_frac
985428,0.6592798960628986,10.2379465,0.3327392,9.738838,0.021451067402234462
104782,0.6943957712516015,10.840495,0.3098139,10.375774,0.10585722112502176
6,0.6170304384007274,9.371499,0.31224236,8.903135,0.0026265661297148954
1040964,0.6432128055050877,10.71474,0.36393273,10.16884,0.12568332096647
189198,0.6527084386733543,9.342147,-0.22194928,9.675071,0.0
852408,0.6102566340549741,9.55592,-0.061081532,9.647542,0.0
3198019,0.6124418973164785,10.642309,0.22737336,10.3012495,0.23648107845969893
15531,0.66689122433132,10.903719,0.61728996,9.977784,0.38874800203120186
15398,0.6415685020249383,10.867084,0.5840581,9.990996,0.45714728755401474
15788,0.6506497685922836,10.439116,0.23370643,10.088556,0.01258641812695716
460550,0.6869908876345444,10.314998,0.16238505,10.07142,0.026894324854095753
1685,0.6598136854666824,11.126076,0.5770953,10.260433,0.700238967527253
17559,0.6162753120910791,10.737049,0.5628256,9.892811,0.37827359679948225
17910,0.6208004211758845,9.51062,-0.25344405,9.890786,0.0
18005,0.7227492410942181,9.744595,-0.07809581,9.861738,0.0003638208047919526
18413,0.6218062366987339,10.761804,0.6196827,9.832279,0.4008574703544244
92228,0.6723252642591783,9.102589,0.18837862,8.820021,0.002460906288614408
212715,0.621481369873165,9.911689,0.20882595,9.59845,0.002589558378747402
213887,0.6037590214610941,10.271424,0.4363731,9.616864,0.06511310928389488
213921,0.6638822446218882,10.05244,0.28646806,9.622738,0.1533431900189567
446417,0.6054659357526995,9.324438,-0.03517344,9.377198,0.0040268371740821585
458066,0.6516674627343886,9.584978,0.7033481,8.529956,0.011318876475595208
458677,0.686697642801295,10.289207,0.26764932,9.887733,0.11874192280317697
943990,0.6360825254458574,10.252408,0.259523,9.863124,0.010218131394299173
1817624,0.6470367911485998,10.3025055,0.3426359,9.788551,0.004749837747987365
1852695,0.6577851205454481,10.5433655,0.1708511,10.287088,0.04340964455154323
1870301,0.6936497593756278,9.919922,0.11101875,9.753394,0.0007592361025168506
3259950,0.6821758476841361,9.936916,0.16295461,9.692485,0.0006094751973460475
3299260,0.619763767025986,9.875408,0.05275179,9.796281,0.07452131705406942
6098149,0.6011218372668866,10.259929,0.22491278,9.92256,0.08276720279011805
6163743,0.6326905096561485,10.214791,0.35231212,9.686323,0.004837065272974323
107,0.6579168815021977,10.929201,0.6642455,9.932833,0.5520716620448768
20315,0.6397176478391793,10.632145,0.2521697,10.25389,0.013826718315613835
218204,0.6999881300551886,10.11268,0.13836534,9.905132,0.013236099646595986
218313,0.685368226449491,9.550584,-0.15549596,9.783828,0.0
219205,0.6393964317361037,10.380418,0.47243968,9.671759,0.20252197291444723
6220689,0.6146987223716674,9.552369,-0.07169815,9.659916,0.0011887647541602557
8251358,0.6280103559279913,10.447062,0.19741014,10.150947,0.09016098255572914
1038537,0.6393870353666818,9.172751,0.33961472,8.663329,0.005506530952906157
2022282,0.690100320212374,10.229532,0.12552813,10.04124,0.005121838630526987
103252,0.6399017231499968,10.333482,0.21086968,10.017178,0.06320639470704505
