track_id,HaloCatalogueIndex,DoR,logM,compactness,exsitu,is_central
66897,66897,0.6679699000879449,10.55533,9.33977,0.24946865636531415,True
172779,172779,0.603381470384433,10.074416,9.359093,0.04960628469384876,True
137,137,0.7246507183723369,10.022101,9.052102,0.004882077941341979,False
1041141,1041141,0.6288302619508289,10.624162,9.667758,0.6266560656497691,False
12185,12185,0.6501444509825213,10.537994,9.555777,0.30263034898539126,True
87007,87007,0.6390490587279235,11.001137,9.527881,0.727497271106097,False
23249,23249,0.6910466717245218,10.35497,9.673672,0.017644145290303042,False
11518,11518,0.6773868908797168,10.811127,9.556752,0.5317671514020326,False
1283,1283,0.6363664465748146,9.859886,9.661437,0.04618710647925022,False
83855,83855,0.6538871999543966,10.24039,9.581297,0.23694723733113052,False
1085,1085,0.7154140447221113,10.20167,9.436118,0.11099005717775856,True
14295,14295,0.6245153530793502,10.357211,9.200365,0.16172390807068712,True
481813,481813,0.6063854464961596,10.340506,9.696032,0.06000550665575697,True
16180,16180,0.612667007865855,10.342821,9.188504,0.4931088173155801,True
3259950,3259950,0.6821758476841361,9.936916,9.692485,0.0006094751973460475,False
273895,273895,0.6836118974326965,10.148448,9.566988,0.0883855626478239,True
997271,997271,0.7158060094729007,9.825807,9.534441,0.05256666351516868,False
41035,41035,0.7115193264449186,9.601206,9.61285,0.0002630802848906416,False
1447,1447,0.6301166461410381,10.891267,9.719444,0.5754809010402508,True
31425,31425,0.7121448930056647,10.008183,9.692643,0.031653554290224144,False
124006,124006,0.708006934464982,10.156799,9.688436,0.004624175871383845,False
39462,39462,0.6747854291495544,10.706154,9.588327,0.30153958981663237,True
30183,30183,0.6255150526210883,10.209067,9.448909,0.10732245529043424,False
1253127,1253127,0.6841291015986833,10.195228,9.358513,0.027981384487307217,False
114191,114191,0.7236870894049207,9.919412,9.526038,0.0011252976600916178,False
38569,38569,0.601280521128829,10.487517,9.243367,0.3662888797424677,False
110495,110495,0.6881217156872337,10.384634,9.425944,0.1300406550565326,True
243904,243904,0.6090002615393302,10.440962,9.413066,0.29596907600455435,True
34839,34839,0.6795322669738485,10.090542,9.385241,0.017297927924365335,False
581214,581214,0.6771729679376576,10.0065155,9.692509,0.24582150722580298,False
2465614,2465614,0.6226612854506913,10.401775,9.252548,0.3549634624551449,False
115874,115874,0.7328957149625412,10.205913,9.69991,0.0875277552529592,False
405,405,0.6903844705050813,9.875973,9.487372,0.0008019100162191792,False
143084,143084,0.6410511278191807,10.688453,9.56175,0.31600473001740753,True
1423833,1423833,0.6698063463058056,10.37616,9.65918,0.1044257024872591,True
45950,45950,0.6151807209059917,10.418265,9.465305,0.4697074750110907,False
154264,154264,0.6663097120972806,10.195228,9.139222,0.2846448602595812,False
1293101,1293101,0.6984107780673224,10.117882,9.699194,0.06689552791814259,False
50829,50829,0.6986479913505268,10.003162,8.981451,0.09238217965519913,False
53398,53398,0.6135585099956606,10.841962,9.69444,0.6875654658676301,True
340024,340024,0.6532958707570389,10.264564,9.208558,0.05391241355079124,False
153297,153297,0.6759685572376042,10.206966,9.250563,0.30224959312189803,False
784221,784221,0.6924446016169572,9.205647,9.429188,0.0050034200153102,False
385504,385504,0.6768635965721616,10.005679,9.495121,0.02928772351452012,False
7317,7317,0.6192068633432238,10.350454,9.354086,0.25600597156191574,True
383198,383198,0.6782191570767805,10.160916,9.403083,0.01731937856137627,False
6474,6474,0.7317893798447779,10.245237,9.498366,0.0645168616770512,False
386766,386766,0.6696043343421879,10.135611,9.234123,0.24070316720565207,True
160741,160741,0.6064768012123853,10.26364,8.952402,0.16423098593305652,False
481,481,0.6486001002007352,10.100745,9.06774,0.34844986779617554,False
7274,7274,0.6222500583236344,10.639207,9.338006,0.49784165501273264,True
