soap_index,sgn,track_id,compactness,mass,r50_kpc,MgFe,lum_age_gyr,log_ssfr,DoR_choice
29,145268,145268,9.723934173583984,23855187968.0,2.727508544921875,0.15130228919862151,7.912799835205078,,0.1109451071785261
247,1743973,1743973,9.431075096130371,8696797184.0,2.1820068359375,0.16418493825647681,7.912799835205078,,0.1160244725936388
606,262637,262637,9.40347671508789,19950901248.0,3.95965576171875,0.09579459387179362,8.181536674499512,,0.1732408479003764
1046,19090,19090,9.570058822631836,13450265600.0,2.35748291015625,0.11102053667917419,8.793658256530762,,0.250375487936139
1249,63005,63005,7.834102630615234,1359179520.0,7.34710693359375,0.11253300868805408,5.180644512176514,-10.579476973640254,0.400593510748179
1915,285659,285659,9.656766891479492,14738679808.0,2.193450927734375,0.1805669417162973,10.824112892150879,,0.228336929547156
2086,497849,497849,9.443538665771484,21942087680.0,3.96728515625,0.09097486437891728,3.0718085765838623,-9.955910048774259,0.2752917661686547
2456,305185,305185,9.265181541442871,9018900480.0,2.8839111328125,0.10477354859101187,4.247531414031982,,0.0647432229163037
2954,250105,250105,9.0525541305542,10424443904.0,4.40216064453125,0.1043778006996515,2.138695478439331,-9.643785827721898,0.14262371713892
3200,383944,383944,10.001867294311523,46382919680.0,2.773284912109375,0.07847096080103591,7.987448692321777,-11.01613267011567,0.1039951007522423
4445,101773,101773,9.922698974609375,49818689536.0,3.284454345703125,0.20989345599528622,11.361586570739746,,0.3545490693218309
4687,4,4,10.031657218933105,165854068736.0,6.195068359375,0.21822615323707964,10.376218795776367,-11.81037269623573,0.540717871766383
4913,598534,598534,9.808571815490723,26353930240.0,2.559661865234375,0.18569725294703524,8.480133056640625,-11.9816187774893,0.1055716507301568
4949,245231,245231,9.252924919128418,5710018048.0,2.166748046875,0.1092874198237486,2.978497266769409,-9.753953908447105,0.3777844266459416
5114,246561,246561,9.21435832977295,22020173824.0,5.65338134765625,0.10054205779481737,3.4263916015625,-10.059993466117476,0.3692573413312904
5165,66768,66768,9.260132789611816,7925700608.0,2.666473388671875,0.09382002601611283,1.778513789176941,-9.765123073826286,0.3679226645421273
5653,272,272,10.065679550170898,171476238336.0,6.011962890625,0.091068415025334,7.293212890625,-10.703164985840866,0.2675902794583418
5858,307153,307153,9.807962417602539,34904317952.0,3.08990478515625,0.08933534579386074,5.755442142486572,-10.469642087377512,0.2148272206092859
6532,320891,320891,8.643937110900879,1783770624.0,2.54058837890625,0.16414464719421243,8.584641456604004,,0.106903802628912
6547,927779,927779,8.564737319946289,2620751872.0,3.7078857421875,0.13888208891513673,7.024476051330566,,0.1208439211017457
7216,25643,25643,8.68083667755127,2879410944.0,3.30352783203125,0.0855234941642663,5.7181172370910645,-10.247636106941318,0.3413803210878408
7328,62902,62902,10.073715209960938,52707860480.0,2.704620361328125,0.20849045242944544,9.689447402954102,-12.989730730584613,0.2488401710411646
7582,26978,26978,9.844223976135254,69105860608.0,4.608154296875,0.197053432403042,10.585236549377441,,0.2430214796256561
