subhalo_id,DoR,logM,logR,compactness,MgFe,lum_age_gyr,log_ssfr,exsitu_frac
5591319,0.1021121581632939,9.570407,0.5164633,8.7957115,0.081751324,3.265896,-9.929589,
162622,0.0562421530804193,9.789512,0.55735123,8.953485,0.1033907,1.9184808,-9.726706,
2862562,0.127670738798249,9.770519,0.3752505,9.2076435,0.07023398,4.1430225,-10.214884,
20846984,0.075995304898634,9.204326,0.5504098,8.378711,0.114701904,2.8889186,-9.918473,
5563561,0.1172578476747085,9.079828,0.5591837,8.241053,0.11374252,4.6282415,-10.428828,
160347,0.0803818595820083,9.278401,0.5337681,8.477749,0.11298751,2.8217344,-10.201433,
1482615,0.0766781747821334,10.369694,0.73374844,9.269072,0.08841834,2.5903223,-9.8169985,
742194,0.2239474352562608,10.311702,0.38764006,9.730242,0.13303292,7.972519,-11.649997,
2826296,0.0937253535758779,9.18191,0.6845794,8.155041,0.11846497,2.3626428,-9.9114,
2831932,0.0698245533528479,9.623455,0.42406934,8.987351,0.09004062,2.0379193,-9.629118,
7432627,0.0913501493734738,9.593167,0.5951398,8.700458,0.095841475,3.7660449,-9.966527,
7435487,0.1658880505989912,9.666633,0.49048096,8.930911,0.08843269,7.3902564,,
9794176,0.091208669698623,9.033826,0.4894086,8.299713,0.11316558,4.2475314,-10.714316,
9799218,0.1097419745405266,9.674776,0.5853513,8.796749,0.08545587,3.9190753,-9.98998,
16410433,0.0728229488230608,9.120619,0.5591837,8.281843,0.13650945,2.9859622,-10.06998,
20868243,0.2856459906481959,9.074951,0.55735123,8.238924,0.16066402,9.226623,,
355006,0.0858869021160217,10.288772,0.7207093,9.207707,0.08754297,1.9371431,-9.62583,
2835005,0.0728152032221844,10.235488,0.7470012,9.114986,0.10162961,2.2096121,-9.858885,
5569738,0.0673579638166012,9.176297,0.5797194,8.306718,0.158036,1.302626,-9.526692,
9809426,0.1566028575225195,10.034805,0.18730363,9.75385,0.120742805,6.0615034,-10.181236,
743754,0.06214319414941,10.115938,0.5504098,9.290323,0.08758556,2.4559538,-9.735623,
9808966,0.0503486567043117,10.473497,0.4215662,9.841148,0.10538066,2.183485,-10.025707,
1488528,0.1483860263587346,9.137158,0.2586106,8.749243,0.052170344,5.606144,-10.405175,
2840645,0.114563058334697,9.53417,0.5677839,8.682494,0.097924806,4.6431713,-10.392083,
4108801,0.1055007562135876,9.615823,0.23803738,9.258767,0.08212189,4.6207767,-10.55845,
16454594,0.0511697211692497,9.810996,0.75054646,8.685177,0.1263727,2.1984146,-9.7862835,
5586190,0.0977763311371696,9.670723,0.5279124,8.878855,0.08501706,4.045979,-10.044738,
358168,0.3385818593689149,11.101013,0.8434363,9.835858,0.15088537,9.017606,-13.268282,
1496846,0.1091863706023619,9.579432,0.07491813,9.467054,0.06514407,5.725582,,
4115350,0.1538236620254678,9.014276,0.20984901,8.699502,0.05223211,4.904443,-10.160416,
748595,0.1709094820678679,9.420041,0.6620866,8.426911,0.07730318,4.1504874,-10.380017,
12819275,0.1319646978515929,9.153834,0.6406447,8.192867,0.09581358,4.7850046,-10.192614,
61684968,0.0712060937694746,9.747637,0.64291257,8.783268,0.09629465,2.5455327,-9.763533,
4089309,0.1004163880069017,9.03186,0.46455345,8.335031,0.09624005,3.1016684,-9.857054,
471,0.1732867067779292,9.53355,0.35961133,8.994133,0.042614557,3.6839309,-9.876554,
2835822,0.1286560176596044,9.281738,0.51444095,8.5100765,0.08471773,4.2475314,-10.170723,
5571772,0.1354273960540892,9.087259,0.33580843,8.583547,0.08945071,5.8599505,-10.756278,
7439640,0.1004807666444281,10.14905,0.29578984,9.705365,0.100669645,4.7028904,-10.228644,
1490352,0.1548638668307214,10.23252,0.642158,9.269283,0.089920394,6.091363,-10.66247,
5581227,0.0569672536085473,9.073611,0.46284476,8.379344,0.15268633,2.1237657,-9.831527,
9818235,0.1012903693373477,10.901598,0.8159774,9.677631,0.104924984,4.926838,-13.145254,
9826713,0.0749421236915002,9.744595,0.6228528,8.810315,0.08855634,3.097936,-10.108879,
2850258,0.0783849095455835,9.150849,0.5194792,8.371631,0.13719109,3.5495627,-9.9216585,
32692628,0.0954301736147948,9.070469,0.6804497,8.049794,0.13753244,2.7134933,-10.001115,
64026,0.0943594738627762,10.310044,0.46170187,9.617492,0.08658136,3.4263916,-10.040725,
356732,0.0922673960255742,9.801726,0.6811407,8.780015,0.08567075,2.818002,-9.84615,
354593,0.1245961981743155,10.207493,0.31545937,9.734303,0.08103684,5.3598022,-10.415593,
1484710,0.0593412824729131,9.961222,0.6685313,8.958425,0.11372287,2.228274,-9.651487,
16439851,0.0937231293727568,9.070469,0.43210635,8.42231,0.10264122,2.836664,-9.690154,
1487846,0.0889840365986804,9.422451,0.34935772,8.898415,0.07935842,3.0120893,-10.075122,
